DATE,VISITOR_TEAM,VISITOR_PTS,HOME_TEAM,HOME_PTS,VISITOR_FG,VISITOR_FGA,VISITOR_FG%,VISITOR_3P,VISITOR_3PA,VISITOR_3P%,VISITOR_FT,VISITOR_FTA,VISITOR_FT%,VISITOR_ORB,VISITOR_DRB,VISITOR_TRB,VISITOR_AST,VISITOR_STL,VISITOR_BLK,VISITOR_TOV,VISITOR_PF,VISITOR_TS%,VISITOR_EFG%,VISITOR_3PAR,VISITOR_FTR,VISITOR_ORB%,VISITOR_DRB%,VISITOR_TRB%,VISITOR_AST%,VISITOR_STL%,VISITOR_BLK%,VISITOR_TOV%,VISITOR_ORTG,VISITOR_DRTG,HOME_FG,HOME_FGA,HOME_FG%,HOME_3P,HOME_3PA,HOME_3P%,HOME_FT,HOME_FTA,HOME_FT%,HOME_ORB,HOME_DRB,HOME_TRB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_TS%,HOME_EFG%,HOME_3PAR,HOME_FTR,HOME_ORB%,HOME_DRB%,HOME_TRB%,HOME_AST%,HOME_STL%,HOME_BLK%,HOME_TOV%,HOME_ORTG,HOME_DRTG,HOME_WIN,SEASON
2022-10-18 19:30:00,PHI,117,BOS,126,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,0.634,0.581,0.425,0.35,11.8,81.8,46.3,40.0,8.1,6.4,13.2,118.6,127.7,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,11,24,0.668,0.634,0.427,0.341,18.2,88.2,53.7,52.2,8.1,6.5,10.4,127.7,118.6,1,2022-2023
2022-10-18 22:00:00,LAL,109,GSW,123,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,22,18,0.519,0.479,0.426,0.266,19.6,78.0,50.0,57.5,10.5,7.4,17.3,95.5,107.8,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,0.564,0.535,0.455,0.232,22.0,80.4,50.0,68.9,9.6,7.4,14.2,107.8,95.5,1,2022-2023
2022-10-19 19:00:00,ORL,109,DET,113,42,86,0.488,11,30,0.367,14,19,0.737,10,38,48,21,5,5,18,24,0.578,0.552,0.349,0.221,25.6,76.0,53.9,50.0,4.9,8.9,16.0,107.8,111.7,40,94,0.426,14,38,0.368,19,24,0.792,12,29,41,31,11,4,13,21,0.54,0.5,0.404,0.255,24.0,74.4,46.1,77.5,10.9,7.1,11.1,111.7,107.8,1,2022-2023
2022-10-19 19:00:00,WAS,114,IND,107,42,92,0.457,11,31,0.355,19,24,0.792,14,39,53,21,5,10,17,19,0.556,0.516,0.337,0.261,31.8,76.5,55.8,50.0,4.8,18.2,14.2,109.9,103.2,39,97,0.402,15,42,0.357,14,21,0.667,12,30,42,21,7,5,15,20,0.504,0.479,0.433,0.216,23.5,68.2,44.2,53.8,6.8,8.2,12.4,103.2,109.9,0,2022-2023
2022-10-19 19:30:00,HOU,107,ATL,117,42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,16,20,0.511,0.474,0.357,0.153,30.6,90.7,58.7,59.5,3.9,4.6,13.3,104.0,113.7,45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,0.582,0.539,0.278,0.267,9.3,69.4,41.3,66.7,11.7,7.9,8.2,113.7,104.0,1,2022-2023
2022-10-19 19:30:00,NOP,130,BKN,108,50,102,0.49,12,26,0.462,18,25,0.72,21,40,61,31,9,4,13,21,0.575,0.549,0.255,0.245,41.2,81.6,61.0,62.0,8.7,7.1,10.3,125.6,104.3,40,89,0.449,10,33,0.303,18,24,0.75,9,30,39,22,10,10,16,25,0.542,0.506,0.371,0.27,18.4,58.8,39.0,55.0,9.7,13.2,13.8,104.3,125.6,0,2022-2023
2022-10-19 19:30:00,NYK,112,MEM,115,44,109,0.404,9,37,0.243,15,18,0.833,18,36,54,28,7,5,12,26,0.479,0.445,0.339,0.165,29.0,64.3,45.8,63.6,6.5,8.6,9.3,104.7,107.5,42,108,0.389,17,50,0.34,14,23,0.609,20,44,64,27,6,7,14,17,0.487,0.468,0.463,0.213,35.7,71.0,54.2,64.3,5.6,9.7,10.6,107.5,104.7,1,2022-2023
2022-10-19 19:30:00,CHI,116,MIA,108,41,93,0.441,13,36,0.361,21,28,0.75,12,34,46,23,12,6,15,26,0.551,0.511,0.387,0.301,24.0,81.0,50.0,56.1,11.6,11.5,12.5,111.9,104.2,37,80,0.463,12,28,0.429,22,28,0.786,8,38,46,21,6,2,19,24,0.585,0.538,0.35,0.35,19.0,76.0,50.0,56.8,5.8,3.5,17.1,104.2,111.9,0,2022-2023
2022-10-19 19:30:00,CLE,105,TOR,108,38,77,0.494,10,28,0.357,19,23,0.826,6,32,38,25,5,5,17,21,0.603,0.558,0.364,0.299,17.1,72.7,48.1,65.8,5.2,8.9,16.3,108.7,111.8,36,86,0.419,13,30,0.433,23,32,0.719,12,29,41,19,15,4,13,23,0.54,0.494,0.349,0.372,27.3,82.9,51.9,52.8,15.5,8.2,11.5,111.8,108.7,1,2022-2023
2022-10-19 20:00:00,OKC,108,MIN,115,38,99,0.384,14,45,0.311,18,22,0.818,16,41,57,22,6,6,14,26,0.497,0.455,0.455,0.222,28.1,74.5,50.9,57.9,5.7,10.7,11.4,103.0,109.7,39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,0.53,0.468,0.404,0.351,25.5,71.9,49.1,64.1,5.7,9.3,11.4,109.7,103.0,1,2022-2023
2022-10-19 20:00:00,CHA,129,SAS,102,48,94,0.511,13,29,0.448,20,23,0.87,14,37,51,26,7,10,15,20,0.619,0.58,0.309,0.245,31.8,72.5,53.7,54.2,6.7,15.4,12.6,124.3,98.3,40,99,0.404,7,34,0.206,15,21,0.714,14,30,44,22,8,8,15,19,0.471,0.439,0.343,0.212,27.5,68.2,46.3,55.0,7.7,12.3,12.2,98.3,124.3,0,2022-2023
2022-10-19 21:00:00,DEN,102,UTA,123,40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,0.561,0.512,0.265,0.217,23.8,69.4,44.9,52.5,9.9,6.7,18.8,100.9,121.6,42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,20,21,0.636,0.602,0.458,0.373,30.6,76.2,55.1,64.3,9.9,1.6,17.1,121.6,100.9,1,2022-2023
2022-10-19 22:00:00,DAL,105,PHX,107,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,0.584,0.56,0.467,0.453,13.5,81.4,50.0,48.6,6.3,6.3,11.8,109.6,111.7,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,0.565,0.518,0.259,0.259,18.6,86.5,50.0,62.5,4.2,12.5,11.2,111.7,109.6,1,2022-2023
2022-10-19 22:00:00,POR,115,SAC,108,39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,0.561,0.506,0.318,0.375,22.9,89.2,51.8,51.3,10.8,4.9,9.7,113.0,106.2,39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,16,25,0.578,0.559,0.518,0.224,10.8,77.1,48.2,69.2,7.9,8.3,14.6,106.2,113.0,0,2022-2023
2022-10-20 19:30:00,MIL,90,PHI,88,34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,14,16,0.499,0.482,0.5,0.167,15.6,87.2,52.2,70.6,4.3,10.2,13.4,96.2,94.1,36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,0.496,0.464,0.289,0.157,12.8,84.4,47.8,47.2,6.4,11.9,10.1,94.1,96.2,0,2022-2023
2022-10-20 22:00:00,LAC,103,LAL,97,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,23,24,0.55,0.519,0.363,0.388,25.0,85.7,60.4,48.6,6.7,14.3,19.7,98.6,92.8,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,0.46,0.399,0.479,0.277,14.3,75.0,39.6,69.7,12.4,9.8,8.7,92.8,98.6,0,2022-2023
2022-10-21 19:00:00,NOP,124,CHA,112,42,89,0.472,8,22,0.364,32,37,0.865,15,38,53,23,9,7,16,14,0.589,0.517,0.247,0.416,36.6,77.6,58.9,54.8,8.8,11.1,13.2,120.8,109.1,44,97,0.454,13,34,0.382,11,14,0.786,11,26,37,30,9,4,14,24,0.543,0.521,0.351,0.144,22.4,63.4,41.1,68.2,8.8,6.0,11.9,109.1,120.8,0,2022-2023
2022-10-21 19:00:00,SAS,137,IND,134,44,81,0.543,17,31,0.548,32,44,0.727,7,30,37,34,9,4,17,22,0.683,0.648,0.383,0.543,20.0,68.2,46.8,77.3,8.2,5.8,14.5,125.4,122.7,51,104,0.49,11,35,0.314,21,22,0.955,14,28,42,32,8,6,16,34,0.589,0.543,0.337,0.212,31.8,80.0,53.2,62.7,7.3,12.0,12.3,122.7,125.4,0,2022-2023
2022-10-21 19:00:00,CHI,100,WAS,102,33,79,0.418,7,27,0.259,27,33,0.818,10,28,38,19,8,3,13,15,0.535,0.462,0.342,0.418,22.7,84.8,49.4,57.6,8.5,5.6,12.2,105.8,107.9,41,80,0.513,10,26,0.385,10,11,0.909,5,34,39,26,8,8,17,22,0.601,0.575,0.325,0.138,15.2,77.3,50.6,63.4,8.5,15.4,16.7,107.9,105.8,1,2022-2023
2022-10-21 19:30:00,ORL,98,ATL,108,33,80,0.413,8,34,0.235,24,30,0.8,10,34,44,16,9,7,19,19,0.526,0.463,0.425,0.375,21.3,79.1,48.9,48.5,8.9,12.1,16.9,97.2,107.1,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,0.562,0.522,0.348,0.18,20.9,78.7,51.1,65.0,9.9,4.3,15.0,107.1,97.2,1,2022-2023
2022-10-21 19:30:00,TOR,105,BKN,109,41,84,0.488,11,28,0.393,12,18,0.667,8,33,41,25,9,4,15,21,0.571,0.554,0.333,0.214,20.5,71.7,48.2,61.0,9.5,8.9,14.0,111.3,115.6,38,80,0.475,13,35,0.371,20,29,0.69,13,31,44,26,3,13,13,19,0.588,0.556,0.438,0.363,28.3,79.5,51.8,68.4,3.2,23.2,12.3,115.6,111.3,1,2022-2023
2022-10-21 19:30:00,BOS,111,MIA,104,41,79,0.519,14,33,0.424,15,15,1.0,12,31,43,17,4,11,20,23,0.648,0.608,0.418,0.19,32.4,73.8,54.4,41.5,4.3,16.7,18.9,119.5,111.9,42,92,0.457,8,26,0.308,12,15,0.8,11,25,36,23,8,3,10,18,0.527,0.5,0.283,0.163,26.2,67.6,45.6,54.8,8.6,6.5,9.2,111.9,119.5,0,2022-2023
2022-10-21 19:30:00,DET,106,NYK,130,39,90,0.433,9,36,0.25,19,32,0.594,13,36,49,26,6,2,15,21,0.509,0.483,0.4,0.356,25.0,76.6,49.5,66.7,5.8,3.5,12.6,101.6,124.6,50,95,0.526,16,38,0.421,14,22,0.636,11,39,50,29,4,6,12,26,0.621,0.611,0.4,0.232,23.4,75.0,50.5,58.0,3.8,11.1,10.3,124.6,101.6,1,2022-2023
2022-10-21 20:00:00,MEM,129,HOU,122,45,98,0.459,19,42,0.452,20,29,0.69,17,33,50,26,8,10,12,21,0.582,0.556,0.429,0.296,34.7,71.7,52.6,57.8,7.8,17.2,9.8,125.2,118.4,44,93,0.473,16,35,0.457,18,30,0.6,13,32,45,18,4,6,14,22,0.574,0.559,0.376,0.323,28.3,65.3,47.4,40.9,3.9,10.7,11.6,118.4,125.2,0,2022-2023
2022-10-21 20:00:00,UTA,132,MIN,126,49,111,0.441,20,50,0.4,14,21,0.667,19,35,54,39,11,8,13,23,0.549,0.532,0.45,0.189,32.8,62.5,47.4,79.6,9.8,10.8,9.8,118.1,112.7,49,107,0.458,11,33,0.333,17,23,0.739,21,39,60,20,5,7,20,22,0.538,0.509,0.308,0.215,37.5,67.2,52.6,40.8,4.5,11.5,14.6,112.7,118.1,0,2022-2023
2022-10-21 22:00:00,DEN,128,GSW,123,46,86,0.535,15,34,0.441,21,25,0.84,12,29,41,30,10,2,20,22,0.66,0.622,0.395,0.291,30.0,80.6,53.9,65.2,9.5,4.5,17.1,121.1,116.4,42,88,0.477,15,44,0.341,24,27,0.889,7,28,35,34,10,3,19,23,0.616,0.563,0.5,0.307,19.4,70.0,46.1,81.0,9.5,5.8,16.0,116.4,121.1,0,2022-2023
2022-10-21 22:00:00,PHX,111,POR,113,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,17,29,0.538,0.511,0.287,0.223,20.5,71.1,46.1,72.1,13.2,1.9,14.1,105.0,106.9,36,82,0.439,10,29,0.345,31,36,0.861,13,35,48,14,8,5,21,19,0.577,0.5,0.354,0.439,28.9,79.5,53.9,38.9,7.6,7.5,17.7,106.9,105.0,1,2022-2023
2022-10-22 18:00:00,SAS,114,PHI,105,43,89,0.483,16,38,0.421,12,15,0.8,12,31,43,27,5,7,14,20,0.596,0.573,0.427,0.169,30.0,72.1,51.8,62.8,5.3,13.2,12.8,121.7,112.1,37,84,0.44,10,31,0.323,21,28,0.75,12,28,40,26,6,5,12,15,0.545,0.5,0.369,0.333,27.9,70.0,48.2,70.3,6.4,9.8,11.1,112.1,121.7,0,2022-2023
2022-10-22 19:00:00,DET,115,IND,124,37,95,0.389,18,42,0.429,23,30,0.767,17,36,53,26,5,3,14,20,0.531,0.484,0.442,0.316,30.4,64.3,47.3,70.3,4.9,4.9,11.5,113.0,121.8,45,103,0.437,16,42,0.381,18,24,0.75,20,39,59,28,7,15,11,21,0.546,0.515,0.408,0.233,35.7,69.6,52.7,62.2,6.9,28.3,8.8,121.8,113.0,1,2022-2023
2022-10-22 19:00:00,BOS,126,ORL,120,42,87,0.483,19,47,0.404,23,28,0.821,7,30,37,24,5,6,8,21,0.634,0.592,0.54,0.322,16.3,71.4,43.5,57.1,5.1,9.8,7.5,128.4,122.3,45,95,0.474,15,34,0.441,15,23,0.652,12,36,48,21,5,7,9,24,0.571,0.553,0.358,0.242,28.6,83.7,56.5,46.7,5.1,17.5,7.9,122.3,128.4,0,2022-2023
2022-10-22 20:00:00,CLE,128,CHI,96,48,85,0.565,16,27,0.593,16,18,0.889,8,40,48,32,4,5,18,17,0.689,0.659,0.318,0.212,24.2,80.0,57.8,66.7,4.1,9.1,16.2,132.0,99.0,34,84,0.405,7,29,0.241,21,25,0.84,10,25,35,19,12,7,10,19,0.505,0.446,0.345,0.298,20.0,75.8,42.2,55.9,12.4,12.1,9.5,99.0,132.0,0,2022-2023
2022-10-22 20:00:00,TOR,109,MIA,112,37,87,0.425,14,39,0.359,21,28,0.75,8,29,37,24,9,5,6,25,0.549,0.506,0.448,0.322,17.4,82.9,45.7,64.9,9.4,10.9,5.7,114.3,117.4,38,76,0.5,11,30,0.367,25,27,0.926,6,38,44,28,2,2,16,26,0.637,0.572,0.395,0.355,17.1,82.6,54.3,73.7,2.1,4.2,15.4,117.4,114.3,1,2022-2023
2022-10-22 20:00:00,HOU,105,MIL,125,36,93,0.387,16,37,0.432,17,22,0.773,15,32,47,20,9,6,14,22,0.511,0.473,0.398,0.237,27.8,80.0,50.0,55.6,9.0,11.1,12.0,104.8,124.8,48,85,0.565,16,31,0.516,13,21,0.619,8,39,47,29,6,10,16,22,0.663,0.659,0.365,0.247,20.0,72.2,50.0,60.4,6.0,17.9,14.5,124.8,104.8,1,2022-2023
