Date,Visitor_Team,Visitor_PTS,Home_Team,Home_PTS,visitor_FG,visitor_FGA,visitor_FG%,visitor_3P,visitor_3PA,visitor_3P%,visitor_FT,visitor_FTA,visitor_FT%,visitor_ORB,visitor_DRB,visitor_TRB,visitor_AST,visitor_STL,visitor_BLK,visitor_TOV,visitor_PF,visitor_TS%,visitor_eFG%,visitor_3PAr,visitor_FTr,visitor_ORB%,visitor_DRB%,visitor_TRB%,visitor_AST%,visitor_STL%,visitor_BLK%,visitor_TOV%,visitor_ORtg,visitor_DRtg,home_FG,home_FGA,home_FG%,home_3P,home_3PA,home_3P%,home_FT,home_FTA,home_FT%,home_ORB,home_DRB,home_TRB,home_AST,home_STL,home_BLK,home_TOV,home_PF,home_TS%,home_eFG%,home_3PAr,home_FTr,home_ORB%,home_DRB%,home_TRB%,home_AST%,home_STL%,home_BLK%,home_TOV%,home_ORtg,home_DRtg,Home_Win
2019-10-22 20:00:00,NOP,122,TOR,130,43,102,0.422,19,45,0.422,17,20,0.85,16,37,53,30,4,9,19,34,0.551,0.515,0.441,0.196,28.1,69.8,48.2,69.8,3.5,14.3,14.6,107.6,114.7,42,103,0.408,14,40,0.35,32,38,0.842,16,41,57,23,7,3,17,24,0.543,0.476,0.388,0.369,30.2,71.9,51.8,54.8,6.2,5.3,12.4,114.7,107.6,1
2019-10-22 22:30:00,LAL,102,LAC,112,37,85,0.435,13,33,0.394,15,21,0.714,9,32,41,20,4,7,15,24,0.541,0.512,0.388,0.247,20.9,74.4,47.7,54.1,4.2,14.0,13.7,106.5,116.9,42,81,0.519,11,31,0.355,17,24,0.708,11,34,45,24,8,5,14,25,0.612,0.586,0.383,0.296,25.6,79.1,52.3,57.1,8.4,9.6,13.3,116.9,106.5,1
2019-10-23 19:00:00,CHI,125,CHA,126,49,105,0.467,9,30,0.3,18,22,0.818,20,29,49,25,11,4,12,20,0.545,0.51,0.286,0.21,38.5,76.3,54.4,51.0,10.7,9.1,9.5,121.8,122.8,45,88,0.511,23,44,0.523,13,16,0.813,9,32,41,28,3,4,19,18,0.663,0.642,0.5,0.182,23.7,61.5,45.6,62.2,2.9,5.3,16.7,122.8,121.8,1
2019-10-23 19:00:00,DET,119,IND,110,41,78,0.526,11,24,0.458,26,33,0.788,10,35,45,26,5,6,18,21,0.643,0.596,0.308,0.423,27.8,77.8,55.6,63.4,5.0,8.8,16.3,118.8,109.8,41,89,0.461,8,21,0.381,20,24,0.833,10,26,36,26,8,6,15,28,0.552,0.506,0.236,0.27,22.2,72.2,44.4,63.4,8.0,11.1,13.1,109.8,118.8,0
2019-10-23 19:00:00,CLE,85,ORL,94,33,88,0.375,9,34,0.265,10,15,0.667,10,44,54,20,8,2,16,15,0.449,0.426,0.386,0.17,20.4,86.3,54.0,60.6,8.1,3.6,14.5,86.1,95.2,37,86,0.43,9,30,0.3,11,19,0.579,7,39,46,24,12,4,13,18,0.498,0.483,0.349,0.221,13.7,79.6,46.0,64.9,12.2,7.4,12.1,95.2,86.1,1
2019-10-23 19:30:00,MIN,127,BKN,126,46,108,0.426,13,43,0.302,22,28,0.786,12,40,52,23,9,4,13,22,0.528,0.486,0.398,0.259,24.0,80.0,52.0,50.0,7.7,6.0,9.8,109.3,108.5,48,101,0.475,15,34,0.441,15,26,0.577,10,38,48,19,8,9,16,30,0.56,0.55,0.337,0.257,20.0,76.0,48.0,39.6,6.9,13.8,12.5,108.5,109.3,0
2019-10-23 19:30:00,MEM,101,MIA,120,38,89,0.427,5,32,0.156,20,30,0.667,9,31,40,22,9,7,24,31,0.494,0.455,0.36,0.337,18.4,73.8,44.0,57.9,8.0,10.4,19.0,90.2,107.2,40,85,0.471,7,18,0.389,33,39,0.846,11,40,51,18,9,8,21,33,0.587,0.512,0.212,0.459,26.2,81.6,56.0,45.0,8.0,14.0,17.1,107.2,90.2,1
2019-10-23 19:30:00,BOS,93,PHI,107,33,90,0.367,7,26,0.269,20,34,0.588,10,31,41,18,4,2,11,29,0.443,0.406,0.289,0.378,16.7,72.1,39.8,54.5,3.9,3.6,9.5,90.1,103.6,37,85,0.435,7,29,0.241,26,36,0.722,12,50,62,24,6,7,17,34,0.531,0.476,0.341,0.424,27.9,83.3,60.2,64.9,5.8,10.9,14.4,103.6,90.1,1
2019-10-23 20:30:00,WAS,100,DAL,108,37,93,0.398,11,41,0.268,15,18,0.833,11,36,47,26,6,3,17,32,0.495,0.457,0.441,0.194,21.2,87.8,50.5,70.3,5.8,7.5,14.4,96.0,103.7,35,76,0.461,11,36,0.306,27,33,0.818,5,41,46,17,6,5,20,22,0.597,0.533,0.474,0.434,12.2,78.8,49.5,48.6,5.8,9.6,18.1,103.7,96.0,1
2019-10-23 20:30:00,NYK,111,SAS,120,44,94,0.468,10,30,0.333,13,18,0.722,5,34,39,24,16,1,14,32,0.545,0.521,0.319,0.191,10.9,77.3,43.3,54.5,14.7,1.6,12.1,101.9,110.2,42,83,0.506,7,21,0.333,29,36,0.806,10,41,51,22,6,5,21,18,0.607,0.548,0.253,0.434,22.7,89.1,56.7,52.4,5.5,7.8,17.5,110.2,101.9,1
