DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2024-12-26 19:30:00,ATL,CHI,1,1,141,46,89,0.517,17,45,0.378,32,34,0.941,12,32,44,32,9,5,14,13,0.678,0.612,0.506,0.382,30.8,78.0,55.0,69.6,8.6,9.1,11.9,135.4,127.7,133,53,98,0.541,22,43,0.512,5,6,0.833,9,27,36,36,8,1,16,26,0.661,0.653,0.439,0.061,22.0,69.2,45.0,67.9,7.7,2.3,13.7,127.7,135.4
2024-12-23 19:30:00,ATL,MIN,1,1,117,39,73,0.534,18,36,0.5,21,26,0.808,6,32,38,27,15,6,23,14,0.693,0.658,0.493,0.356,18.2,66.7,46.9,69.2,15.1,12.5,21.4,117.9,104.8,104,39,91,0.429,14,43,0.326,12,13,0.923,16,27,43,31,12,3,21,17,0.538,0.505,0.473,0.143,33.3,81.8,53.1,79.5,12.1,8.1,17.8,104.8,117.9
2024-12-21 19:30:00,ATL,MEM,1,0,112,39,80,0.488,14,38,0.368,20,24,0.833,6,35,41,29,11,6,25,14,0.618,0.575,0.475,0.3,15.8,81.4,50.6,74.4,10.1,10.7,21.6,102.5,117.2,128,50,97,0.515,18,41,0.439,10,13,0.769,8,32,40,35,13,1,18,22,0.623,0.608,0.423,0.134,18.6,84.2,49.4,70.0,11.9,2.4,14.9,117.2,102.5
2024-12-19 20:00:00,ATL,SAS,0,0,126,46,97,0.474,16,38,0.421,18,21,0.857,12,41,53,32,14,6,23,22,0.593,0.557,0.392,0.216,26.1,83.7,55.8,69.6,12.1,10.2,17.8,108.5,114.5,133,49,101,0.485,19,42,0.452,16,23,0.696,8,34,42,32,15,8,17,15,0.598,0.579,0.416,0.228,16.3,73.9,44.2,65.3,12.9,13.6,13.3,114.5,108.5
2024-12-14 16:30:00,ATL,MIL,0,0,102,35,82,0.427,10,24,0.417,22,34,0.647,7,37,44,23,3,6,13,20,0.526,0.488,0.293,0.415,14.6,86.0,48.4,65.7,2.9,14.6,11.8,100.0,107.8,110,39,86,0.453,14,45,0.311,18,27,0.667,6,41,47,28,8,8,13,27,0.562,0.535,0.523,0.314,14.0,85.4,51.6,71.8,7.8,13.8,11.7,107.8,100.0
2024-12-11 19:00:00,ATL,NYK,0,1,108,43,104,0.413,9,31,0.29,13,20,0.65,22,36,58,27,5,7,11,13,0.479,0.457,0.298,0.192,37.3,75.0,54.2,62.8,5.0,13.7,8.9,108.8,100.8,100,40,93,0.43,11,42,0.262,9,15,0.6,12,37,49,27,8,11,15,14,0.502,0.489,0.452,0.161,25.0,62.7,45.8,67.5,8.1,15.1,13.1,100.8,108.8
2024-12-08 18:00:00,ATL,DEN,1,0,111,41,101,0.406,9,40,0.225,20,27,0.741,19,26,45,26,12,2,12,22,0.492,0.45,0.396,0.267,34.5,78.8,51.1,63.4,11.3,3.2,9.6,104.4,132.6,141,56,89,0.629,12,27,0.444,17,24,0.708,7,36,43,43,9,5,20,22,0.708,0.697,0.303,0.27,21.2,65.5,48.9,76.8,8.5,8.2,16.7,132.6,104.4
2024-12-06 19:30:00,ATL,LAL,1,1,134,50,100,0.5,17,40,0.425,17,22,0.773,11,37,48,40,10,5,17,24,0.611,0.585,0.4,0.22,24.4,86.0,54.5,80.0,8.9,7.8,13.4,118.6,116.8,132,51,99,0.515,16,35,0.457,14,16,0.875,6,34,40,33,11,10,15,24,0.622,0.596,0.354,0.162,14.0,75.6,45.5,64.7,9.7,16.7,12.4,116.8,118.6
2024-12-04 20:00:00,ATL,MIL,0,1,119,45,102,0.441,9,32,0.281,20,22,0.909,15,39,54,29,16,3,14,25,0.533,0.485,0.314,0.216,31.9,83.0,57.4,64.4,15.4,9.1,11.1,114.9,100.4,104,33,78,0.423,15,45,0.333,23,35,0.657,8,32,40,23,7,4,18,22,0.557,0.519,0.577,0.449,17.0,68.1,42.6,69.7,6.8,5.7,16.2,100.4,114.9
2024-12-02 19:30:00,ATL,NOP,1,1,124,49,96,0.51,10,38,0.263,16,20,0.8,11,40,51,30,12,4,18,15,0.592,0.563,0.396,0.208,29.7,72.7,55.4,61.2,11.2,6.9,14.7,116.2,104.9,112,44,100,0.44,13,42,0.31,11,17,0.647,15,26,41,21,15,5,16,18,0.521,0.505,0.42,0.17,27.3,70.3,44.6,47.7,14.1,8.6,13.0,104.9,116.2
2024-11-30 18:00:00,ATL,CHA,0,1,107,38,78,0.487,10,33,0.303,21,27,0.778,14,35,49,27,8,7,22,15,0.595,0.551,0.423,0.346,34.1,66.0,52.1,71.1,8.4,15.2,19.7,111.8,108.7,104,35,94,0.372,18,48,0.375,16,19,0.842,18,27,45,23,13,6,15,23,0.508,0.468,0.511,0.202,34.0,65.9,47.9,65.7,13.6,13.3,12.8,108.7,111.8
2024-11-29 14:30:00,ATL,CLE,1,1,117,44,85,0.518,14,34,0.412,15,18,0.833,10,43,53,33,9,5,21,20,0.63,0.6,0.4,0.212,25.6,79.6,57.0,75.0,8.9,9.1,18.4,115.4,99.6,101,38,93,0.409,11,38,0.289,14,17,0.824,11,29,40,21,9,0,13,22,0.503,0.468,0.409,0.183,20.4,74.4,43.0,55.3,8.9,0.0,11.5,99.6,115.4
2024-11-27 19:00:00,ATL,CLE,0,1,135,46,97,0.474,20,42,0.476,23,25,0.92,14,37,51,39,6,6,15,21,0.625,0.577,0.433,0.258,30.4,75.5,53.7,84.8,5.7,12.8,12.2,127.8,117.4,124,44,95,0.463,15,48,0.313,21,28,0.75,12,32,44,31,11,5,13,21,0.578,0.542,0.505,0.295,24.5,69.6,46.3,70.5,10.4,9.1,10.8,117.4,127.8
2024-11-25 19:30:00,ATL,DAL,1,0,119,48,101,0.475,9,31,0.29,14,16,0.875,9,30,39,32,10,6,14,15,0.551,0.52,0.307,0.158,18.0,75.0,43.3,66.7,9.1,10.2,11.5,108.5,117.6,129,47,94,0.5,16,35,0.457,19,22,0.864,10,41,51,24,6,8,18,13,0.622,0.585,0.372,0.234,25.0,82.0,56.7,51.1,5.5,11.4,14.8,117.6,108.5
2024-11-22 20:00:00,ATL,CHI,0,0,122,49,107,0.458,10,34,0.294,14,19,0.737,14,28,42,32,11,4,11,16,0.529,0.505,0.318,0.178,28.0,84.8,50.6,65.3,10.2,9.3,8.7,113.2,126.1,136,49,86,0.57,19,43,0.442,19,21,0.905,5,36,41,36,8,10,19,17,0.714,0.68,0.5,0.244,15.2,72.0,49.4,73.5,7.4,13.7,16.6,126.1,113.2
2024-11-20 22:00:00,ATL,GSW,0,0,97,35,105,0.333,12,45,0.267,15,24,0.625,21,44,65,27,9,5,17,17,0.42,0.39,0.429,0.229,31.8,83.0,54.6,77.1,8.1,8.2,12.8,87.7,108.5,120,47,101,0.465,14,40,0.35,12,18,0.667,9,45,54,36,10,7,15,17,0.551,0.535,0.396,0.178,17.0,68.2,45.4,76.6,9.0,11.7,12.1,108.5,87.7
2024-11-18 22:00:00,ATL,SAC,0,1,109,39,83,0.47,16,38,0.421,15,18,0.833,6,31,37,34,7,7,14,19,0.599,0.566,0.458,0.217,14.3,77.5,45.1,87.2,7.2,17.9,13.3,111.5,110.5,108,37,85,0.435,20,46,0.435,14,19,0.737,9,36,45,24,9,4,17,20,0.578,0.553,0.541,0.224,22.5,85.7,54.9,64.9,9.2,8.9,15.4,110.5,111.5
2024-11-17 18:00:00,ATL,POR,0,0,110,39,85,0.459,11,32,0.344,21,25,0.84,16,31,47,30,10,7,27,19,0.573,0.524,0.376,0.294,42.1,63.3,54.0,76.9,9.8,12.3,22.0,107.9,111.9,114,44,95,0.463,14,38,0.368,12,19,0.632,18,22,40,31,16,10,20,21,0.551,0.537,0.4,0.2,36.7,57.9,46.0,70.5,15.7,18.9,16.2,111.9,107.9
2024-11-15 19:30:00,ATL,WAS,1,1,129,46,98,0.469,12,37,0.324,25,30,0.833,15,40,55,28,10,10,16,17,0.58,0.531,0.378,0.306,27.8,75.5,51.4,60.9,8.9,15.9,12.6,115.0,104.3,117,43,106,0.406,15,43,0.349,16,21,0.762,13,39,52,28,11,5,16,23,0.508,0.476,0.406,0.198,24.5,72.2,48.6,65.1,9.8,8.2,12.2,104.3,115.0
2024-11-12 19:00:00,ATL,BOS,0,1,117,50,99,0.505,10,32,0.313,7,13,0.538,19,25,44,35,16,2,16,17,0.559,0.556,0.323,0.131,40.4,80.6,56.4,70.0,16.2,6.7,13.3,118.7,117.7,116,38,75,0.507,18,45,0.4,22,27,0.815,6,28,34,28,7,5,20,12,0.668,0.627,0.6,0.36,19.4,59.6,43.6,73.7,7.1,7.5,18.7,117.7,118.7
2024-11-09 19:30:00,ATL,CHI,1,0,113,41,89,0.461,9,29,0.31,22,30,0.733,10,29,39,31,8,5,14,19,0.553,0.511,0.326,0.337,22.7,69.0,45.3,75.6,7.7,9.4,12.0,109.0,120.6,125,46,92,0.5,13,39,0.333,20,23,0.87,13,34,47,30,12,6,18,18,0.612,0.571,0.424,0.25,31.0,77.3,54.7,65.2,11.6,10.0,15.0,120.6,109.0
2024-11-08 19:00:00,ATL,DET,0,0,121,44,97,0.454,15,36,0.417,18,23,0.783,15,29,44,30,12,7,18,21,0.565,0.531,0.371,0.237,30.6,72.5,49.4,68.2,11.2,13.2,14.4,113.1,114.1,122,44,86,0.512,13,33,0.394,21,31,0.677,11,34,45,27,7,8,21,18,0.612,0.587,0.384,0.36,27.5,69.4,50.6,61.4,6.5,13.1,17.4,114.1,113.1
2024-11-06 19:30:00,ATL,NYK,1,1,121,45,100,0.45,15,38,0.395,16,22,0.727,16,32,48,31,12,4,8,14,0.552,0.525,0.38,0.22,32.0,82.1,53.9,68.9,12.3,10.8,6.8,123.7,118.5,116,41,84,0.488,22,47,0.468,12,15,0.8,7,34,41,29,5,5,16,18,0.64,0.619,0.56,0.179,17.9,68.0,46.1,70.7,5.1,8.1,15.0,118.5,123.7
2024-11-04 19:45:00,ATL,BOS,1,0,93,37,89,0.416,6,31,0.194,13,16,0.813,8,35,43,23,9,3,20,13,0.484,0.449,0.348,0.18,17.0,76.1,46.2,62.2,8.6,6.8,17.2,88.5,117.1,123,48,99,0.485,18,55,0.327,9,13,0.692,11,39,50,27,15,7,13,14,0.587,0.576,0.556,0.131,23.9,83.0,53.8,56.3,14.3,12.1,11.0,117.1,88.5
2024-11-03 19:00:00,ATL,NOP,0,1,126,50,88,0.568,15,36,0.417,11,12,0.917,10,31,41,29,10,3,16,17,0.675,0.653,0.409,0.136,28.6,63.3,48.8,58.0,10.4,5.8,14.6,130.5,114.9,111,39,90,0.433,16,38,0.421,17,20,0.85,18,25,43,22,6,3,18,16,0.562,0.522,0.422,0.222,36.7,71.4,51.2,56.4,6.2,5.8,15.4,114.9,130.5
2024-11-01 19:30:00,ATL,SAC,1,0,115,41,92,0.446,19,50,0.38,14,18,0.778,8,32,40,30,8,4,13,22,0.575,0.549,0.543,0.196,16.3,76.2,44.0,73.2,7.7,7.1,11.5,111.3,119.1,123,43,89,0.483,11,33,0.333,26,30,0.867,10,41,51,28,9,4,14,21,0.602,0.545,0.371,0.337,23.8,83.7,56.0,65.1,8.7,9.5,12.0,119.1,111.3
2024-10-30 19:00:00,ATL,WAS,0,0,120,45,95,0.474,12,39,0.308,18,21,0.857,12,29,41,28,10,3,17,19,0.576,0.537,0.411,0.221,27.9,82.9,52.6,62.2,9.4,5.9,14.0,112.8,125.0,133,47,89,0.528,16,38,0.421,23,25,0.92,6,31,37,32,10,5,16,21,0.665,0.618,0.427,0.281,17.1,72.1,47.4,68.1,9.4,8.9,13.8,125.0,112.8
2024-10-28 19:30:00,ATL,WAS,1,0,119,39,81,0.481,15,40,0.375,26,36,0.722,6,33,39,32,12,7,16,22,0.614,0.574,0.494,0.444,15.0,78.6,47.6,82.1,11.4,14.9,14.2,112.8,114.7,121,41,91,0.451,21,44,0.477,18,22,0.818,9,34,43,24,7,3,18,25,0.601,0.566,0.484,0.242,21.4,85.0,52.4,58.5,6.6,7.3,15.2,114.7,112.8
2024-10-27 19:00:00,ATL,OKC,0,0,104,36,91,0.396,10,31,0.323,22,29,0.759,17,32,49,24,7,4,20,23,0.501,0.451,0.341,0.319,33.3,74.4,52.1,66.7,6.9,8.2,16.2,102.7,126.4,128,44,89,0.494,16,40,0.4,24,32,0.75,11,34,45,26,13,12,10,23,0.621,0.584,0.449,0.36,25.6,66.7,47.9,59.1,12.8,20.0,8.8,126.4,102.7
2024-10-25 19:30:00,ATL,CHA,1,1,125,39,81,0.481,14,38,0.368,33,38,0.868,7,32,39,25,11,9,14,28,0.64,0.568,0.469,0.469,18.4,59.3,42.4,64.1,10.9,20.0,12.5,123.4,118.5,120,37,96,0.385,21,51,0.412,25,31,0.806,22,31,53,22,7,4,18,28,0.547,0.495,0.531,0.323,40.7,81.6,57.6,59.5,6.9,9.3,14.1,118.5,123.4
2024-10-23 19:30:00,ATL,BKN,1,1,120,39,80,0.488,9,28,0.321,33,46,0.717,12,33,45,25,12,9,16,20,0.599,0.544,0.35,0.575,27.9,73.3,51.1,64.1,11.6,18.8,13.8,115.6,111.8,116,40,91,0.44,17,43,0.395,19,25,0.76,12,31,43,21,8,6,19,32,0.569,0.533,0.473,0.275,26.7,72.1,48.9,52.5,7.7,11.5,15.7,111.8,115.6
2024-04-17 21:30:00,ATL,CHI,0,0,116,41,91,0.451,11,37,0.297,23,28,0.821,8,26,34,30,4,2,9,16,0.561,0.511,0.407,0.308,17.8,72.2,42.0,73.2,4.1,2.9,8.0,117.5,132.7,131,54,95,0.568,11,26,0.423,12,15,0.8,10,37,47,27,6,8,7,20,0.645,0.626,0.274,0.158,27.8,82.2,58.0,50.0,6.1,14.8,6.4,132.7,117.5
2024-04-14 13:00:00,ATL,IND,0,0,115,39,89,0.438,12,36,0.333,25,27,0.926,9,23,32,25,6,5,17,12,0.57,0.506,0.404,0.303,20.0,65.7,40.0,64.1,5.6,7.8,14.4,107.8,147.2,157,65,100,0.65,19,36,0.528,8,10,0.8,12,36,48,41,10,6,16,24,0.752,0.745,0.36,0.1,34.3,80.0,60.0,63.1,9.4,11.3,13.3,147.2,107.8
2024-04-12 20:00:00,ATL,MIN,0,0,106,40,90,0.444,9,30,0.3,17,25,0.68,9,31,40,23,4,1,15,25,0.525,0.494,0.333,0.278,19.6,81.6,47.6,57.5,4.0,2.4,12.9,105.4,108.4,109,38,79,0.481,10,37,0.27,23,29,0.793,7,37,44,29,8,11,14,22,0.594,0.544,0.468,0.367,18.4,80.4,52.4,76.3,8.0,18.3,13.2,108.4,105.4
2024-04-10 19:30:00,ATL,CHA,1,0,114,43,82,0.524,18,40,0.45,10,16,0.625,7,31,38,35,7,2,18,20,0.64,0.634,0.488,0.195,20.0,86.1,53.5,81.4,7.2,4.7,16.8,117.5,118.5,115,40,79,0.506,14,36,0.389,21,22,0.955,5,28,33,25,11,2,14,18,0.648,0.595,0.456,0.278,13.9,80.0,46.5,62.5,11.3,4.8,13.6,118.5,117.5
2024-04-09 19:30:00,ATL,MIA,1,0,111,45,113,0.398,10,46,0.217,11,14,0.786,17,42,59,28,13,2,16,23,0.466,0.442,0.407,0.124,29.3,89.4,56.2,62.2,11.7,4.7,11.8,99.8,105.2,117,42,88,0.477,18,45,0.4,15,21,0.714,5,41,46,29,8,3,18,16,0.602,0.58,0.511,0.239,10.6,70.7,43.8,69.0,7.2,4.5,15.6,105.2,99.8
