DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2024-12-27 21:00:00,DEN,CLE,1,0,135,53,94,0.564,15,31,0.484,14,18,0.778,8,30,38,39,8,3,13,20,0.662,0.644,0.33,0.191,21.6,76.9,50.0,73.6,7.6,6.3,11.3,128.5,141.8,149,54,96,0.563,23,48,0.479,18,22,0.818,9,29,38,40,10,7,11,17,0.705,0.682,0.5,0.229,23.1,78.4,50.0,74.1,9.5,11.1,9.4,141.8,128.5
2024-12-25 22:30:00,DEN,PHX,0,0,100,36,78,0.462,8,29,0.276,20,28,0.714,14,32,46,20,3,2,16,16,0.554,0.513,0.372,0.359,31.8,72.7,52.3,55.6,3.3,3.8,15.0,109.8,120.8,110,41,88,0.466,11,36,0.306,17,20,0.85,12,30,42,31,12,4,9,17,0.568,0.528,0.409,0.227,27.3,68.2,47.7,75.6,13.2,8.2,8.5,120.8,109.8
2024-12-23 22:00:00,DEN,PHX,1,1,117,46,90,0.511,16,41,0.39,9,11,0.818,11,35,46,35,6,4,12,15,0.617,0.6,0.456,0.122,26.8,79.5,54.1,76.1,6.4,8.0,11.2,125.3,96.3,90,33,83,0.398,13,33,0.394,11,15,0.733,9,30,39,23,6,5,15,13,0.502,0.476,0.398,0.181,20.5,73.2,45.9,69.7,6.4,10.2,14.3,96.3,125.3
2024-12-22 19:00:00,DEN,NOP,0,1,132,49,97,0.505,10,33,0.303,24,32,0.75,14,40,54,34,10,8,22,19,0.594,0.557,0.34,0.33,29.2,81.6,55.7,69.4,8.4,11.8,16.5,111.1,108.6,129,50,108,0.463,12,40,0.3,17,23,0.739,9,34,43,37,16,9,15,23,0.546,0.519,0.37,0.213,18.4,70.8,44.3,74.0,13.5,14.1,11.3,108.6,111.1
2024-12-19 22:00:00,DEN,POR,0,0,124,47,87,0.54,15,34,0.441,15,21,0.714,8,32,40,35,7,3,11,20,0.644,0.626,0.391,0.241,21.1,68.1,47.1,74.5,7.1,5.9,10.3,126.4,128.4,126,45,97,0.464,16,46,0.348,20,24,0.833,15,30,45,29,7,7,10,18,0.586,0.546,0.474,0.247,31.9,78.9,52.9,64.4,7.1,13.2,8.5,128.4,126.4
2024-12-16 22:00:00,DEN,SAC,0,1,130,51,102,0.5,10,28,0.357,18,24,0.75,15,40,55,38,9,4,15,18,0.577,0.549,0.275,0.235,32.6,78.4,56.7,74.5,8.3,6.0,11.8,119.5,118.6,129,49,102,0.48,12,35,0.343,19,20,0.95,11,31,42,28,10,9,11,23,0.582,0.539,0.343,0.196,21.6,67.4,43.3,57.1,9.2,12.2,9.0,118.6,119.5
2024-12-13 21:00:00,DEN,LAC,1,1,120,42,77,0.545,10,29,0.345,26,32,0.813,5,41,46,23,15,2,22,16,0.659,0.61,0.377,0.416,16.1,89.1,59.7,54.8,14.3,4.8,19.5,114.5,93.5,98,37,83,0.446,14,41,0.341,10,18,0.556,5,26,31,24,18,2,19,22,0.539,0.53,0.494,0.217,10.9,83.9,40.3,64.9,17.2,4.2,17.3,93.5,114.5
2024-12-08 18:00:00,DEN,ATL,0,1,141,56,89,0.629,12,27,0.444,17,24,0.708,7,36,43,43,9,5,20,22,0.708,0.697,0.303,0.27,21.2,65.5,48.9,76.8,8.5,8.2,16.7,132.6,104.4,111,41,101,0.406,9,40,0.225,20,27,0.741,19,26,45,26,12,2,12,22,0.492,0.45,0.396,0.267,34.5,78.8,51.1,63.4,11.3,3.2,9.6,104.4,132.6
2024-12-07 19:00:00,DEN,WAS,0,0,113,46,95,0.484,5,25,0.2,16,27,0.593,16,32,48,34,11,6,15,23,0.529,0.511,0.263,0.284,34.0,68.1,51.1,73.9,10.7,11.5,12.3,110.1,118.8,122,45,93,0.484,16,41,0.39,16,22,0.727,15,31,46,31,9,12,17,21,0.594,0.57,0.441,0.237,31.9,66.0,48.9,68.9,8.8,17.1,14.2,118.8,110.1
2024-12-05 19:00:00,DEN,CLE,0,0,114,46,96,0.479,6,24,0.25,16,22,0.727,9,40,49,25,12,5,16,13,0.539,0.51,0.25,0.229,19.1,81.6,51.0,54.3,11.0,10.9,13.1,104.2,115.2,126,47,94,0.5,22,48,0.458,10,16,0.625,9,38,47,32,9,3,17,17,0.624,0.617,0.511,0.17,18.4,80.9,49.0,68.1,8.2,4.2,14.4,115.2,104.2
