DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2024-12-27 22:00:00,GSW,LAC,0,0,92,35,95,0.368,7,38,0.184,15,20,0.75,19,28,47,24,14,2,14,16,0.443,0.405,0.4,0.211,36.5,82.4,54.7,68.6,14.7,4.7,11.9,96.4,106.8,102,40,75,0.533,10,32,0.313,12,15,0.8,6,33,39,19,6,10,23,19,0.625,0.6,0.427,0.2,17.6,63.5,45.3,47.5,6.3,17.5,22.0,106.8,96.4
2024-12-25 20:00:00,GSW,LAL,1,0,113,41,89,0.461,18,45,0.4,13,17,0.765,12,32,44,26,2,8,13,18,0.586,0.562,0.506,0.191,28.6,74.4,51.8,63.4,2.1,16.3,11.9,120.4,122.6,115,41,91,0.451,15,42,0.357,18,18,1.0,11,30,41,30,6,4,9,14,0.581,0.533,0.462,0.198,25.6,71.4,48.2,73.2,6.4,9.1,8.3,122.6,120.4
2024-12-23 22:00:00,GSW,IND,1,0,105,39,90,0.433,12,38,0.316,15,21,0.714,11,33,44,29,7,7,11,13,0.529,0.5,0.422,0.233,23.9,80.5,50.6,74.4,7.2,12.3,10.0,107.7,113.9,111,45,92,0.489,11,35,0.314,10,11,0.909,8,35,43,26,7,4,12,16,0.573,0.549,0.38,0.12,19.5,76.1,49.4,57.8,7.2,7.7,11.0,113.9,107.7
2024-12-21 20:00:00,GSW,MIN,0,1,113,40,87,0.46,16,42,0.381,17,23,0.739,11,34,45,30,9,6,11,23,0.582,0.552,0.483,0.264,24.4,75.6,50.0,75.0,9.3,12.5,10.2,117.2,106.8,103,36,86,0.419,14,38,0.368,17,25,0.68,11,34,45,27,5,2,15,18,0.531,0.5,0.442,0.291,24.4,75.6,50.0,75.0,5.2,4.4,13.4,106.8,117.2
2024-12-19 20:00:00,GSW,MEM,0,0,93,32,90,0.356,12,36,0.333,17,24,0.708,10,26,36,20,11,5,18,16,0.462,0.422,0.4,0.267,18.2,63.4,37.5,62.5,10.5,10.0,15.2,88.7,137.3,144,53,98,0.541,27,48,0.563,11,15,0.733,15,45,60,38,11,8,17,19,0.688,0.679,0.49,0.153,36.6,81.8,62.5,71.7,10.5,14.8,14.0,137.3,88.7
2024-12-15 20:30:00,GSW,DAL,1,0,133,49,103,0.476,27,54,0.5,8,11,0.727,15,22,37,39,8,2,10,17,0.617,0.607,0.524,0.107,28.8,68.8,44.0,79.6,7.9,4.3,8.5,131.7,141.6,143,52,87,0.598,21,41,0.512,18,25,0.72,10,37,47,36,8,5,16,12,0.73,0.718,0.471,0.287,31.3,71.2,56.0,69.2,7.9,10.2,14.0,141.6,131.7
2024-12-11 21:30:00,GSW,HOU,0,0,90,37,84,0.44,12,38,0.316,4,9,0.444,11,28,39,22,13,8,22,11,0.512,0.512,0.452,0.107,27.5,80.0,52.0,59.5,13.7,14.3,20.0,94.7,95.7,91,38,83,0.458,6,27,0.222,9,10,0.9,7,29,36,23,10,5,17,14,0.521,0.494,0.325,0.12,20.0,72.5,48.0,60.5,10.5,10.9,16.3,95.7,94.7
2024-12-08 20:30:00,GSW,MIN,1,1,114,42,90,0.467,16,41,0.39,14,20,0.7,14,31,45,28,8,6,13,20,0.577,0.556,0.456,0.222,30.4,81.6,53.6,66.7,8.4,16.2,11.6,120.1,111.6,106,36,79,0.456,19,42,0.452,15,20,0.75,7,32,39,22,6,8,16,18,0.604,0.576,0.532,0.253,18.4,69.6,46.4,61.1,6.3,16.3,15.4,111.6,120.1
2024-12-06 22:00:00,GSW,MIN,1,0,90,32,82,0.39,11,39,0.282,15,17,0.882,10,31,41,21,9,4,22,11,0.503,0.457,0.476,0.207,20.4,77.5,46.1,65.6,8.9,8.7,19.7,88.7,105.5,107,40,88,0.455,14,42,0.333,13,14,0.929,9,39,48,32,12,6,21,14,0.568,0.534,0.477,0.159,22.5,79.6,53.9,80.0,11.8,14.0,18.2,105.5,88.7
2024-12-05 22:00:00,GSW,HOU,1,1,99,36,86,0.419,9,28,0.321,18,27,0.667,11,43,54,19,5,3,10,16,0.506,0.471,0.326,0.314,24.4,79.6,54.5,52.8,5.3,5.5,9.3,104.8,98.5,93,35,93,0.376,10,38,0.263,13,17,0.765,11,34,45,20,9,9,8,20,0.463,0.43,0.409,0.183,20.4,75.6,45.5,57.1,9.5,15.5,7.4,98.5,104.8
2024-12-03 22:00:00,GSW,DEN,0,0,115,44,95,0.463,12,38,0.316,15,21,0.714,11,37,48,36,12,3,15,25,0.552,0.526,0.4,0.221,24.4,90.2,55.8,81.8,11.5,5.5,12.6,110.1,113.9,119,40,79,0.506,11,24,0.458,28,35,0.8,4,34,38,32,9,5,15,15,0.63,0.576,0.304,0.443,9.8,75.6,44.2,80.0,8.6,8.8,13.7,113.9,110.1
2024-11-30 21:00:00,GSW,PHX,0,0,105,38,92,0.413,14,40,0.35,15,18,0.833,9,34,43,28,8,5,9,17,0.525,0.489,0.435,0.196,18.8,85.0,48.9,73.7,8.3,11.4,8.3,109.0,117.4,113,38,79,0.481,18,35,0.514,19,22,0.864,6,39,45,31,4,9,14,13,0.637,0.595,0.443,0.278,15.0,81.3,51.1,81.6,4.2,17.3,13.6,117.4,109.0
2024-11-27 22:00:00,GSW,OKC,1,0,101,35,98,0.357,16,50,0.32,15,21,0.714,18,39,57,25,7,6,16,21,0.471,0.439,0.51,0.214,31.0,83.0,54.3,71.4,6.9,12.5,13.0,99.8,103.7,105,39,85,0.459,11,37,0.297,16,26,0.615,8,40,48,26,10,9,14,21,0.544,0.524,0.435,0.306,17.0,69.0,45.7,66.7,9.9,18.8,12.7,103.7,99.8
2024-11-25 22:00:00,GSW,BKN,1,0,120,45,93,0.484,19,46,0.413,11,17,0.647,11,32,43,32,8,5,13,21,0.597,0.586,0.495,0.183,23.9,82.1,50.6,71.1,8.0,13.2,11.5,120.3,128.4,128,41,83,0.494,20,45,0.444,26,30,0.867,7,35,42,23,6,3,12,18,0.665,0.614,0.542,0.361,17.9,76.1,49.4,56.1,6.0,6.4,11.1,128.4,120.3
2024-11-23 20:30:00,GSW,SAS,0,0,94,36,95,0.379,14,44,0.318,8,13,0.615,17,32,49,29,4,3,10,21,0.467,0.453,0.463,0.137,30.4,78.0,50.5,80.6,4.4,7.9,9.0,103.5,114.5,104,38,85,0.447,13,47,0.277,15,19,0.789,9,39,48,29,5,9,9,16,0.557,0.524,0.553,0.224,22.0,69.6,49.5,76.3,5.5,17.6,8.8,114.5,103.5
2024-11-22 19:30:00,GSW,NOP,0,1,112,39,87,0.448,12,37,0.324,22,29,0.759,14,38,52,27,5,5,17,19,0.561,0.517,0.425,0.333,31.8,74.5,54.7,69.2,5.1,9.4,14.6,114.2,110.1,108,41,92,0.446,12,39,0.308,14,22,0.636,13,30,43,28,10,9,10,25,0.531,0.511,0.424,0.239,25.5,68.2,45.3,68.3,10.2,18.0,9.0,110.1,114.2
2024-11-20 22:00:00,GSW,ATL,1,1,120,47,101,0.465,14,40,0.35,12,18,0.667,9,45,54,36,10,7,15,17,0.551,0.535,0.396,0.178,17.0,68.2,45.4,76.6,9.0,11.7,12.1,108.5,87.7,97,35,105,0.333,12,45,0.267,15,24,0.625,21,44,65,27,9,5,17,17,0.42,0.39,0.429,0.229,31.8,83.0,54.6,77.1,8.1,8.2,12.8,87.7,108.5
2024-11-18 22:30:00,GSW,LAC,0,0,99,37,84,0.44,16,44,0.364,9,19,0.474,9,36,45,27,12,4,19,14,0.536,0.536,0.524,0.226,18.8,87.8,50.6,73.0,11.8,8.3,17.1,96.9,99.9,102,35,82,0.427,16,34,0.471,16,18,0.889,5,39,44,29,10,6,20,13,0.567,0.524,0.415,0.22,12.2,81.3,49.4,82.9,9.8,15.0,18.2,99.9,96.9
