DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_USG%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_USG%,Opponent_ORTG,Opponent_DRTG
2024-12-25 20:00:00,LAL,GSW,0,1,115,41,91,0.451,15,42,0.357,18,18,1.0,11,30,41,30,6,4,9,14,0.581,0.533,0.462,0.198,25.6,71.4,48.2,73.2,6.4,9.1,8.3,100.0,122.6,120.4,113,41,89,0.461,18,45,0.4,13,17,0.765,12,32,44,26,2,8,13,18,0.586,0.562,0.506,0.191,28.6,74.4,51.8,63.4,2.1,16.3,11.9,100.0,120.4,122.6
2024-12-23 22:30:00,LAL,DET,1,0,114,40,74,0.541,14,30,0.467,20,25,0.8,6,32,38,28,8,3,20,10,0.671,0.635,0.405,0.338,18.2,76.2,50.7,70.0,8.2,4.8,19.0,100.0,117.1,120.2,117,47,92,0.511,11,30,0.367,12,12,1.0,10,27,37,24,12,5,12,20,0.601,0.571,0.326,0.13,23.8,81.8,49.3,51.1,12.3,11.4,11.0,100.0,120.2,117.1
2024-12-21 18:00:00,LAL,SAC,0,1,103,40,83,0.482,9,35,0.257,14,21,0.667,9,39,48,23,10,6,14,14,0.558,0.536,0.422,0.253,20.5,78.0,51.1,57.5,10.3,11.3,13.2,100.0,106.4,102.3,99,39,90,0.433,10,37,0.27,11,14,0.786,11,35,46,25,10,1,14,20,0.515,0.489,0.411,0.156,22.0,79.5,48.9,64.1,10.3,2.1,12.7,100.0,102.3,106.4
2024-12-19 22:00:00,LAL,SAC,0,1,113,38,94,0.404,12,33,0.364,25,30,0.833,14,39,53,22,8,10,13,16,0.527,0.468,0.351,0.319,26.4,90.7,55.2,57.9,7.8,18.9,10.8,100.0,110.0,97.3,100,37,82,0.451,11,29,0.379,15,22,0.682,4,39,43,27,7,6,16,20,0.545,0.518,0.354,0.268,9.3,73.6,44.8,73.0,6.8,9.8,14.9,100.0,97.3,110.0
2024-12-15 21:30:00,LAL,MEM,1,1,116,39,82,0.476,10,34,0.294,28,39,0.718,10,34,44,23,10,7,23,27,0.585,0.537,0.415,0.476,23.3,66.7,46.8,59.0,9.1,10.1,18.8,100.0,106.0,100.5,110,38,97,0.392,9,28,0.321,25,30,0.833,17,33,50,25,10,3,21,31,0.499,0.438,0.289,0.309,33.3,76.7,53.2,65.8,9.1,6.3,16.0,100.0,100.5,106.0
2024-12-13 20:00:00,LAL,MIN,0,0,87,33,86,0.384,10,35,0.286,11,17,0.647,15,38,53,17,7,6,22,21,0.465,0.442,0.407,0.198,28.8,77.6,52.5,51.5,7.1,10.9,19.1,100.0,88.5,98.7,97,35,87,0.402,9,32,0.281,18,24,0.75,11,37,48,18,12,5,14,14,0.497,0.454,0.368,0.276,22.4,71.2,47.5,51.4,12.2,9.8,12.5,100.0,98.7,88.5
2024-12-08 21:30:00,LAL,POR,1,1,107,38,83,0.458,13,34,0.382,18,21,0.857,8,32,40,25,14,7,11,20,0.58,0.536,0.41,0.253,17.8,72.7,44.9,65.8,14.7,14.6,10.7,100.0,112.7,103.2,98,35,84,0.417,9,36,0.25,19,21,0.905,12,37,49,17,4,3,18,19,0.526,0.47,0.429,0.25,27.3,82.2,55.1,48.6,4.2,6.1,16.2,100.0,103.2,112.7
2024-12-06 19:30:00,LAL,ATL,0,0,132,51,99,0.515,16,35,0.457,14,16,0.875,6,34,40,33,11,10,15,24,0.622,0.596,0.354,0.162,14.0,75.6,45.5,64.7,9.7,16.7,12.4,100.0,116.8,118.6,134,50,100,0.5,17,40,0.425,17,22,0.773,11,37,48,40,10,5,17,24,0.611,0.585,0.4,0.22,24.4,86.0,54.5,80.0,8.9,7.8,13.4,100.0,118.6,116.8
2024-12-04 19:30:00,LAL,MIA,0,0,93,37,88,0.42,5,22,0.227,14,19,0.737,12,24,36,29,9,4,13,8,0.483,0.449,0.25,0.216,23.5,64.9,40.9,78.4,9.4,9.3,11.9,100.0,97.3,140.3,134,52,90,0.578,24,47,0.511,6,9,0.667,13,39,52,42,11,5,16,16,0.713,0.711,0.522,0.1,35.1,76.5,59.1,80.8,11.5,7.6,14.6,100.0,140.3,97.3
2024-12-02 20:00:00,LAL,MIN,0,0,80,32,79,0.405,6,31,0.194,10,14,0.714,9,30,39,19,8,2,21,16,0.47,0.443,0.392,0.177,20.0,81.1,47.6,59.4,8.4,4.3,19.8,100.0,84.5,115.1,109,41,81,0.506,15,35,0.429,12,15,0.8,7,36,43,31,11,2,15,17,0.622,0.599,0.432,0.185,18.9,80.0,52.4,75.6,11.6,4.2,14.6,100.0,115.1,84.5
