DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2024-12-27 20:00:00,NOP,MEM,1,0,124,43,96,0.448,11,38,0.289,27,29,0.931,12,33,45,30,13,10,17,25,0.57,0.505,0.396,0.302,26.7,78.6,51.7,69.8,11.9,20.8,13.5,113.4,120.7,132,42,89,0.472,17,41,0.415,31,35,0.886,9,33,42,30,12,7,17,19,0.632,0.567,0.461,0.393,21.4,73.3,48.3,71.4,11.0,12.1,14.0,120.7,113.4
2024-12-26 20:00:00,NOP,HOU,1,0,111,43,99,0.434,12,37,0.324,13,18,0.722,17,27,44,29,12,2,16,16,0.519,0.495,0.374,0.182,32.1,60.0,44.9,67.4,11.8,4.0,13.0,109.2,125.9,128,46,97,0.474,18,47,0.383,18,23,0.783,18,36,54,19,7,9,16,14,0.597,0.567,0.485,0.237,40.0,67.9,55.1,41.3,6.9,14.5,13.0,125.9,109.2
2024-12-22 19:00:00,NOP,DEN,1,0,129,50,108,0.463,12,40,0.3,17,23,0.739,9,34,43,37,16,9,15,23,0.546,0.519,0.37,0.213,18.4,70.8,44.3,74.0,13.5,14.1,11.3,108.6,111.1,132,49,97,0.505,10,33,0.303,24,32,0.75,14,40,54,34,10,8,22,19,0.594,0.557,0.34,0.33,29.2,81.6,55.7,69.4,8.4,11.8,16.5,111.1,108.6
2024-12-21 20:00:00,NOP,NYK,1,0,93,34,83,0.41,12,34,0.353,13,19,0.684,16,29,45,23,8,5,19,20,0.509,0.482,0.41,0.229,37.2,65.9,51.7,67.6,8.8,10.0,17.2,102.1,114.1,104,38,87,0.437,15,37,0.405,13,15,0.867,15,27,42,24,11,3,17,18,0.556,0.523,0.425,0.172,34.1,62.8,48.3,63.2,12.1,6.1,15.4,114.1,102.1
2024-12-19 20:00:00,NOP,HOU,0,0,113,41,92,0.446,13,28,0.464,18,25,0.72,11,26,37,25,6,2,12,22,0.549,0.516,0.304,0.272,23.4,81.3,46.8,61.0,6.0,4.2,10.4,112.8,132.7,133,50,87,0.575,17,39,0.436,16,19,0.842,6,36,42,34,7,6,12,20,0.697,0.672,0.448,0.218,18.8,76.6,53.2,68.0,7.0,9.4,11.2,132.7,112.8
2024-12-15 17:00:00,NOP,IND,0,0,104,38,97,0.392,10,33,0.303,18,23,0.783,19,30,49,18,11,4,18,19,0.485,0.443,0.34,0.237,34.5,81.1,53.3,47.4,10.9,9.3,14.4,103.0,117.9,119,41,81,0.506,16,38,0.421,21,24,0.875,7,36,43,33,10,9,17,21,0.65,0.605,0.469,0.296,18.9,65.5,46.7,80.5,9.9,14.1,15.7,117.9,103.0
2024-12-12 20:00:00,NOP,SAC,1,0,109,39,83,0.47,14,37,0.378,17,20,0.85,10,33,43,22,6,4,17,22,0.594,0.554,0.446,0.241,23.3,66.0,46.2,56.4,6.3,6.8,15.6,113.8,115.8,111,37,92,0.402,10,33,0.303,27,29,0.931,17,33,50,24,12,2,11,19,0.53,0.457,0.359,0.315,34.0,76.7,53.8,64.9,12.5,4.3,9.5,115.8,113.8
2024-12-08 19:00:00,NOP,SAS,0,0,116,43,99,0.434,13,38,0.342,17,21,0.81,13,30,43,26,9,8,8,21,0.536,0.5,0.384,0.212,25.0,65.2,43.9,60.5,9.0,14.8,6.9,116.1,121.1,121,42,93,0.452,12,39,0.308,25,31,0.806,16,39,55,27,7,11,13,18,0.567,0.516,0.419,0.333,34.8,75.0,56.1,64.3,7.0,18.0,10.9,121.1,116.1
2024-12-07 19:00:00,NOP,OKC,1,0,109,38,79,0.481,11,37,0.297,22,27,0.815,8,27,35,25,15,6,18,20,0.6,0.551,0.468,0.342,18.6,73.0,43.8,65.8,14.9,11.3,16.5,108.2,118.1,119,45,85,0.529,12,32,0.375,17,21,0.81,10,35,45,27,13,3,20,24,0.631,0.6,0.376,0.247,27.0,81.4,56.3,60.0,12.9,7.1,17.5,118.1,108.2
2024-12-05 20:00:00,NOP,PHX,1,1,126,47,95,0.495,14,36,0.389,18,25,0.72,12,32,44,23,13,4,13,24,0.594,0.568,0.379,0.263,25.0,76.2,48.9,48.9,12.6,10.0,10.9,121.8,119.9,124,43,85,0.506,17,45,0.378,21,26,0.808,10,36,46,32,10,3,17,15,0.643,0.606,0.529,0.306,23.8,75.0,51.1,74.4,9.7,5.1,15.0,119.9,121.8
