DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2024-12-26 19:00:00,OKC,IND,0,1,120,44,95,0.463,13,37,0.351,19,24,0.792,9,36,45,20,4,4,3,18,0.568,0.532,0.389,0.253,18.4,76.6,46.9,45.5,4.1,7.5,2.8,123.3,117.2,114,42,89,0.472,14,36,0.389,16,22,0.727,11,40,51,28,1,8,11,21,0.578,0.551,0.404,0.247,23.4,81.6,53.1,66.7,1.0,13.8,10.0,117.2,123.3
2024-12-23 20:00:00,OKC,WAS,1,1,123,47,106,0.443,10,38,0.263,19,22,0.864,19,40,59,25,15,9,12,18,0.532,0.491,0.358,0.208,33.3,75.5,53.6,53.2,14.3,18.8,9.4,117.5,100.3,105,36,91,0.396,16,43,0.372,17,20,0.85,13,38,51,25,7,8,19,16,0.526,0.484,0.473,0.22,24.5,66.7,46.4,69.4,6.7,11.8,16.0,100.3,117.5
2024-12-20 20:00:00,OKC,MIA,0,1,104,39,86,0.453,14,34,0.412,12,17,0.706,12,36,48,24,8,5,14,17,0.556,0.535,0.395,0.198,26.1,83.7,53.9,61.5,8.2,11.6,13.0,106.4,99.2,97,36,83,0.434,12,40,0.3,13,20,0.65,7,34,41,20,9,3,19,16,0.528,0.506,0.482,0.241,16.3,73.9,46.1,55.6,9.2,5.8,17.1,99.2,106.4
2024-12-19 19:00:00,OKC,ORL,0,1,105,40,83,0.482,10,31,0.323,15,16,0.938,4,28,32,23,15,6,13,20,0.583,0.542,0.373,0.193,11.8,73.7,44.4,57.5,15.6,14.0,12.6,108.9,102.7,99,35,78,0.449,11,35,0.314,18,25,0.72,10,30,40,25,6,6,20,16,0.556,0.519,0.449,0.321,26.3,88.2,55.6,71.4,6.2,11.5,18.3,102.7,108.9
2024-12-17 20:30:00,OKC,MIL,1,0,81,29,86,0.337,5,32,0.156,18,22,0.818,7,36,43,13,10,5,10,14,0.423,0.366,0.372,0.256,14.0,80.0,45.3,44.8,10.3,12.2,9.5,83.8,100.3,97,34,81,0.42,17,40,0.425,12,18,0.667,9,43,52,25,6,4,19,20,0.545,0.525,0.494,0.222,20.0,86.0,54.7,73.5,6.2,7.4,17.6,100.3,83.8
2024-12-14 20:30:00,OKC,HOU,1,1,111,36,80,0.45,11,30,0.367,28,32,0.875,4,39,43,19,12,4,12,24,0.59,0.519,0.375,0.4,11.8,67.2,46.7,52.8,12.0,8.0,11.3,111.1,96.1,96,35,96,0.365,11,46,0.239,15,25,0.6,19,30,49,17,7,3,16,25,0.449,0.422,0.479,0.26,32.8,88.2,53.3,48.6,7.0,6.0,13.0,96.1,111.1
2024-12-10 21:30:00,OKC,DAL,1,1,118,46,101,0.455,20,50,0.4,6,7,0.857,17,35,52,29,14,5,14,17,0.567,0.554,0.495,0.069,31.5,83.3,54.2,63.0,14.1,11.4,11.9,119.0,104.8,104,38,80,0.475,15,36,0.417,13,19,0.684,7,37,44,25,10,2,19,12,0.589,0.569,0.45,0.238,16.7,68.5,45.8,65.8,10.1,3.9,17.7,104.8,119.0
2024-12-07 19:00:00,OKC,NOP,0,1,119,45,85,0.529,12,32,0.375,17,21,0.81,10,35,45,27,13,3,20,24,0.631,0.6,0.376,0.247,27.0,81.4,56.3,60.0,12.9,7.1,17.5,118.1,108.2,109,38,79,0.481,11,37,0.297,22,27,0.815,8,27,35,25,15,6,18,20,0.6,0.551,0.468,0.342,18.6,73.0,43.8,65.8,14.9,11.3,16.5,108.2,118.1
2024-12-05 19:30:00,OKC,TOR,0,1,129,49,102,0.48,17,47,0.362,14,17,0.824,13,42,55,28,15,11,6,16,0.589,0.564,0.461,0.167,25.0,77.8,51.9,57.1,14.6,24.4,5.2,126.0,89.8,92,32,90,0.356,11,45,0.244,17,20,0.85,12,39,51,24,5,7,20,16,0.466,0.417,0.5,0.222,22.2,75.0,48.1,75.0,4.9,12.7,16.8,89.8,126.0
2024-12-03 20:00:00,OKC,UTA,1,1,133,53,102,0.52,17,47,0.362,10,11,0.909,15,19,34,32,18,3,8,23,0.622,0.603,0.461,0.108,37.5,63.3,48.6,60.4,18.9,8.6,7.0,140.0,111.6,106,38,70,0.543,13,35,0.371,17,22,0.773,11,25,36,21,3,6,29,14,0.665,0.636,0.5,0.314,36.7,62.5,51.4,55.3,3.2,10.9,26.7,111.6,140.0
