DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2024-12-26 22:00:00,POR,UTA,1,1,122,45,89,0.506,15,38,0.395,17,22,0.773,9,34,43,26,10,8,11,20,0.618,0.59,0.427,0.247,20.5,75.6,48.3,57.8,10.2,18.2,10.0,124.2,122.2,120,41,86,0.477,21,42,0.5,17,25,0.68,11,35,46,26,9,5,13,16,0.619,0.599,0.488,0.291,24.4,79.5,51.7,63.4,9.2,9.8,11.8,122.2,124.2
2024-12-23 20:30:00,POR,DAL,0,0,108,43,93,0.462,8,29,0.276,14,19,0.737,16,32,48,23,6,1,19,25,0.533,0.505,0.312,0.204,36.4,71.1,53.9,53.5,5.9,1.9,15.8,107.1,130.8,132,48,90,0.533,12,36,0.333,24,34,0.706,13,28,41,27,10,4,11,21,0.629,0.6,0.4,0.378,28.9,63.6,46.1,56.3,9.9,6.3,9.5,130.8,107.1
2024-12-21 20:30:00,POR,SAS,0,0,94,38,96,0.396,12,43,0.279,6,9,0.667,11,33,44,21,8,3,13,15,0.47,0.458,0.448,0.094,22.9,73.3,47.3,55.3,8.1,5.3,11.5,95.6,116.0,114,44,93,0.473,10,36,0.278,16,18,0.889,12,37,49,33,7,13,12,12,0.565,0.527,0.387,0.194,26.7,77.1,52.7,75.0,7.1,24.5,10.6,116.0,95.6
2024-12-19 22:00:00,POR,DEN,1,1,126,45,97,0.464,16,46,0.348,20,24,0.833,15,30,45,29,7,7,10,18,0.586,0.546,0.474,0.247,31.9,78.9,52.9,64.4,7.1,13.2,8.5,128.4,126.4,124,47,87,0.54,15,34,0.441,15,21,0.714,8,32,40,35,7,3,11,20,0.644,0.626,0.391,0.241,21.1,68.1,47.1,74.5,7.1,5.9,10.3,126.4,128.4
2024-12-15 20:00:00,POR,PHX,0,0,109,42,94,0.447,15,49,0.306,10,13,0.769,12,36,48,30,6,4,13,22,0.547,0.527,0.521,0.138,26.1,75.0,51.1,71.4,6.2,8.0,11.5,113.0,120.2,116,43,89,0.483,15,39,0.385,15,19,0.789,12,34,46,23,7,2,11,13,0.596,0.567,0.438,0.213,25.0,73.9,48.9,53.5,7.3,4.4,10.2,120.2,113.0
2024-12-13 22:00:00,POR,SAS,1,0,116,42,82,0.512,16,41,0.39,16,17,0.941,8,28,36,25,9,5,16,22,0.648,0.61,0.5,0.207,22.2,68.3,46.8,59.5,9.5,9.1,15.2,122.2,124.4,118,44,85,0.518,14,30,0.467,16,21,0.762,13,28,41,32,5,6,15,13,0.626,0.6,0.353,0.247,31.7,77.8,53.2,72.7,5.3,14.6,13.7,124.4,122.2
2024-12-08 21:30:00,POR,LAL,0,0,98,35,84,0.417,9,36,0.25,19,21,0.905,12,37,49,17,4,3,18,19,0.526,0.47,0.429,0.25,27.3,82.2,55.1,48.6,4.2,6.1,16.2,103.2,112.7,107,38,83,0.458,13,34,0.382,18,21,0.857,8,32,40,25,14,7,11,20,0.58,0.536,0.41,0.253,17.8,72.7,44.9,65.8,14.7,14.6,10.7,112.7,103.2
2024-12-06 22:00:00,POR,UTA,1,0,99,37,95,0.389,14,47,0.298,11,17,0.647,6,28,34,23,4,7,11,22,0.483,0.463,0.495,0.179,10.7,71.8,35.8,62.2,3.8,10.9,9.7,93.2,132.8,141,53,96,0.552,14,32,0.438,21,23,0.913,11,50,61,34,6,11,14,17,0.664,0.625,0.333,0.24,28.2,89.3,64.2,64.2,5.7,22.9,11.7,132.8,93.2
2024-12-03 22:30:00,POR,LAC,0,0,105,41,80,0.513,10,29,0.345,13,16,0.813,11,18,29,25,6,4,18,15,0.603,0.575,0.363,0.2,31.4,62.1,45.3,61.0,6.6,8.3,17.1,115.6,139.8,127,47,85,0.553,19,37,0.514,14,17,0.824,11,24,35,29,8,8,14,14,0.687,0.665,0.435,0.2,37.9,68.6,54.7,61.7,8.8,15.7,13.1,139.8,115.6
2024-12-01 21:00:00,POR,DAL,1,0,131,49,84,0.583,18,31,0.581,15,18,0.833,10,29,39,29,7,0,21,25,0.713,0.69,0.369,0.214,28.6,78.4,54.2,59.2,6.9,0.0,18.6,128.4,134.3,137,48,87,0.552,18,36,0.5,23,29,0.793,8,25,33,33,13,0,13,15,0.687,0.655,0.414,0.333,21.6,71.4,45.8,68.8,12.7,0.0,11.5,134.3,128.4
