DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2023-04-27 20:30:00,ATL,BOS,1,0,120,44,94,0.468,15,35,0.429,17,22,0.773,12,33,45,28,5,7,10,15,0.579,0.548,0.372,0.234,25.0,75.0,48.9,63.6,5.1,13.5,8.8,123.3,131.5,128,47,94,0.5,18,42,0.429,16,17,0.941,11,36,47,24,7,10,7,16,0.631,0.596,0.447,0.181,25.0,75.0,51.1,51.1,7.2,16.9,6.5,131.5,123.3
2023-04-25 19:30:00,ATL,BOS,0,1,119,45,96,0.469,19,41,0.463,10,10,1.0,6,28,34,26,5,4,9,16,0.593,0.568,0.427,0.104,15.0,75.7,44.2,57.8,5.1,7.4,8.2,121.5,119.5,117,49,92,0.533,12,38,0.316,7,13,0.538,9,34,43,31,1,9,9,20,0.599,0.598,0.413,0.141,24.3,85.0,55.8,63.3,1.0,16.4,8.4,119.5,121.5
2023-04-23 19:00:00,ATL,BOS,1,0,121,43,98,0.439,14,37,0.378,21,24,0.875,11,31,42,25,8,4,12,24,0.557,0.51,0.378,0.245,21.6,77.5,46.2,58.1,7.6,8.2,10.0,114.4,122.0,129,46,89,0.517,16,40,0.4,21,25,0.84,9,40,49,25,4,5,16,23,0.645,0.607,0.449,0.281,22.5,78.4,53.8,54.3,3.8,8.2,13.8,122.0,114.4
2023-04-21 19:00:00,ATL,BOS,1,1,130,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,19,15,0.663,0.643,0.374,0.176,32.4,86.0,62.3,47.1,4.9,13.6,16.2,126.3,118.5,122,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,0.616,0.603,0.522,0.174,14.0,67.6,37.7,68.9,10.7,0.0,10.8,118.5,126.3
2023-04-18 19:00:00,ATL,BOS,0,0,106,43,101,0.426,16,48,0.333,4,8,0.5,19,30,49,21,10,4,16,11,0.507,0.505,0.475,0.079,32.8,85.7,52.7,48.8,10.0,7.5,13.3,106.0,119.0,119,48,86,0.558,15,33,0.455,8,10,0.8,5,39,44,28,10,12,16,8,0.658,0.645,0.384,0.116,14.3,67.2,47.3,58.3,10.0,22.6,15.0,119.0,106.0
2023-04-15 15:30:00,ATL,BOS,0,0,99,38,98,0.388,5,29,0.172,18,22,0.818,14,31,45,23,13,4,11,17,0.46,0.413,0.296,0.224,23.3,72.1,43.7,60.5,12.9,7.3,9.3,98.4,111.3,112,42,88,0.477,13,33,0.394,15,18,0.833,12,46,58,25,6,7,17,15,0.584,0.551,0.375,0.205,27.9,76.7,56.3,59.5,6.0,10.1,15.1,111.3,98.4
2023-04-11 19:30:00,ATL,MIA,0,1,116,45,96,0.469,10,41,0.244,16,27,0.593,22,41,63,26,5,8,12,21,0.538,0.521,0.427,0.281,40.0,87.2,61.8,57.8,5.1,14.0,10.0,117.8,106.7,105,39,91,0.429,11,34,0.324,16,20,0.8,6,33,39,24,7,4,8,19,0.526,0.489,0.374,0.22,12.8,60.0,38.2,61.5,7.1,7.3,7.4,106.7,117.8
2023-04-09 13:00:00,ATL,BOS,0,0,114,44,97,0.454,11,39,0.282,15,19,0.789,16,34,50,27,11,5,9,12,0.541,0.51,0.402,0.196,31.4,73.9,51.5,61.4,11.4,14.3,7.9,118.6,124.8,120,42,89,0.472,25,54,0.463,11,14,0.786,12,35,47,33,5,3,15,13,0.631,0.612,0.607,0.157,26.1,68.6,48.5,78.6,5.2,5.2,13.6,124.8,118.6
2023-04-07 19:30:00,ATL,PHI,1,0,131,51,92,0.554,10,33,0.303,19,28,0.679,4,34,38,32,11,7,21,19,0.628,0.609,0.359,0.304,9.3,72.3,42.2,62.7,9.2,8.8,16.8,109.8,114.0,136,51,102,0.5,11,22,0.5,23,29,0.793,13,39,52,33,10,2,20,22,0.593,0.554,0.216,0.284,27.7,90.7,57.8,64.7,8.4,3.4,14.8,114.0,109.8
2023-04-05 19:30:00,ATL,WAS,1,1,134,43,84,0.512,13,30,0.433,35,40,0.875,12,36,48,30,10,5,17,23,0.659,0.589,0.357,0.476,30.8,75.0,55.2,69.8,9.6,7.6,14.3,128.4,111.1,116,45,94,0.479,6,28,0.214,20,26,0.769,12,27,39,23,10,9,14,26,0.55,0.511,0.298,0.277,25.0,69.2,44.8,51.1,9.6,16.7,11.7,111.1,128.4
2023-04-04 20:00:00,ATL,CHI,0,1,123,48,86,0.558,10,28,0.357,17,19,0.895,7,41,48,26,5,7,17,18,0.652,0.616,0.326,0.221,21.2,87.2,60.0,54.2,5.0,12.1,15.3,122.7,104.8,105,41,89,0.461,7,31,0.226,16,20,0.8,6,26,32,16,8,6,8,18,0.537,0.5,0.348,0.225,12.8,78.8,40.0,39.0,8.0,10.3,7.6,104.8,122.7
2023-04-02 18:00:00,ATL,DAL,1,1,132,51,108,0.472,12,35,0.343,18,22,0.818,16,37,53,28,10,3,11,22,0.561,0.528,0.324,0.204,30.2,78.7,53.0,54.9,9.1,5.3,8.5,119.6,117.8,130,49,95,0.516,10,38,0.263,22,32,0.688,10,37,47,24,4,3,14,15,0.596,0.568,0.4,0.337,21.3,69.8,47.0,49.0,3.6,4.1,11.4,117.8,119.6
2023-03-31 19:30:00,ATL,BKN,0,0,107,39,91,0.429,8,37,0.216,21,23,0.913,16,30,46,23,6,3,11,14,0.529,0.473,0.407,0.253,33.3,76.9,52.9,59.0,6.3,5.5,9.8,113.1,131.1,124,49,88,0.557,15,33,0.455,11,13,0.846,9,32,41,33,9,3,13,17,0.662,0.642,0.375,0.148,23.1,66.7,47.1,67.3,9.5,5.6,12.2,131.1,113.1
2023-03-28 19:30:00,ATL,CLE,1,1,120,41,89,0.461,12,27,0.444,26,33,0.788,14,37,51,25,5,3,15,16,0.58,0.528,0.303,0.371,31.8,78.7,56.0,61.0,5.0,4.4,12.7,119.9,117.9,118,47,93,0.505,9,25,0.36,15,22,0.682,10,30,40,20,5,6,8,24,0.575,0.554,0.269,0.237,21.3,68.2,44.0,42.6,5.0,9.7,7.2,117.9,119.9
2023-03-26 18:00:00,ATL,MEM,1,0,119,45,98,0.459,7,31,0.226,22,26,0.846,14,34,48,27,4,5,10,15,0.544,0.495,0.316,0.265,29.8,85.0,55.2,60.0,4.0,8.9,8.4,117.5,121.5,123,48,89,0.539,13,33,0.394,14,19,0.737,6,33,39,28,8,7,11,22,0.632,0.612,0.371,0.213,15.0,70.2,44.8,58.3,7.9,10.4,10.2,121.5,117.5
2023-03-25 17:00:00,ATL,IND,1,1,143,53,96,0.552,15,30,0.5,22,25,0.88,15,27,42,33,10,8,13,14,0.668,0.63,0.313,0.26,40.5,73.0,56.8,62.3,9.7,13.6,10.8,139.2,126.6,130,52,96,0.542,14,37,0.378,12,12,1.0,10,22,32,33,7,7,17,18,0.642,0.615,0.385,0.125,27.0,59.5,43.2,63.5,6.8,10.6,14.4,126.6,139.2
2023-03-22 20:00:00,ATL,MIN,0,0,124,45,85,0.529,12,26,0.462,22,25,0.88,9,32,41,28,6,6,17,25,0.646,0.6,0.306,0.294,22.5,74.4,49.4,62.2,5.9,9.1,15.0,121.5,122.5,125,45,92,0.489,11,26,0.423,24,29,0.828,11,31,42,27,7,3,11,20,0.597,0.549,0.283,0.315,25.6,77.5,50.6,60.0,6.9,5.1,9.5,122.5,121.5
2023-03-21 19:30:00,ATL,DET,1,1,129,44,95,0.463,14,38,0.368,27,36,0.75,21,40,61,26,5,6,11,20,0.582,0.537,0.4,0.379,44.7,81.6,63.5,59.1,5.1,11.8,9.0,131.6,109.2,107,37,91,0.407,13,40,0.325,20,24,0.833,9,26,35,20,8,2,10,26,0.527,0.478,0.44,0.264,18.4,55.3,36.5,54.1,8.2,3.5,9.0,109.2,131.6
2023-03-19 16:00:00,ATL,SAS,0,0,118,48,101,0.475,5,22,0.227,17,20,0.85,20,31,51,21,4,4,12,13,0.537,0.5,0.218,0.198,39.2,75.6,55.4,43.8,4.0,6.1,9.9,118.0,126.0,126,51,94,0.543,14,28,0.5,10,16,0.625,10,31,41,26,9,5,12,18,0.624,0.617,0.298,0.17,24.4,60.8,44.6,51.0,9.0,6.3,10.6,126.0,118.0
2023-03-17 19:30:00,ATL,GSW,1,1,127,47,100,0.47,16,41,0.39,17,25,0.68,13,32,45,27,7,8,11,15,0.572,0.55,0.41,0.25,25.5,66.7,45.5,57.4,6.6,13.8,9.0,120.2,112.6,119,47,98,0.48,11,40,0.275,14,20,0.7,16,38,54,28,6,9,17,20,0.557,0.536,0.408,0.204,33.3,74.5,54.5,59.6,5.7,15.3,13.7,112.6,120.2
2023-03-13 19:30:00,ATL,MIN,1,0,115,44,97,0.454,4,22,0.182,23,28,0.821,18,33,51,17,6,4,16,19,0.526,0.474,0.227,0.289,36.0,86.8,58.0,38.6,5.6,6.3,12.8,108.2,127.9,136,54,92,0.587,12,28,0.429,16,23,0.696,5,32,37,39,12,10,13,22,0.666,0.652,0.304,0.25,13.2,64.0,42.0,72.2,11.3,13.3,11.3,127.9,108.2
2023-03-11 19:30:00,ATL,BOS,1,0,125,50,100,0.5,10,34,0.294,15,16,0.938,13,35,48,24,4,4,10,17,0.584,0.55,0.34,0.16,27.1,87.5,54.5,48.0,3.9,7.5,8.5,122.0,130.8,134,52,95,0.547,20,42,0.476,10,12,0.833,5,35,40,35,6,6,9,21,0.668,0.653,0.442,0.126,12.5,72.9,45.5,67.3,5.9,9.1,8.2,130.8,122.0
2023-03-10 19:00:00,ATL,WAS,0,1,114,42,95,0.442,15,31,0.484,15,19,0.789,13,33,46,25,9,4,14,17,0.551,0.521,0.326,0.2,26.5,82.5,51.7,59.5,8.9,6.6,11.9,112.1,105.2,107,43,88,0.489,7,27,0.259,14,18,0.778,7,36,43,27,8,6,15,17,0.558,0.528,0.307,0.205,17.5,73.5,48.3,62.8,7.9,9.4,13.5,105.2,112.1
