DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2023-04-22 13:00:00,BKN,PHI,1,0,88,33,80,0.413,9,37,0.243,13,19,0.684,5,33,38,20,3,6,10,14,0.498,0.469,0.463,0.238,11.4,68.8,41.3,60.6,3.3,9.0,10.2,97.3,106.1,96,36,91,0.396,9,24,0.375,15,16,0.938,15,39,54,19,7,3,10,19,0.49,0.445,0.264,0.176,31.3,88.6,58.7,52.8,7.7,7.0,9.3,106.1,97.3
2023-04-20 19:30:00,BKN,PHI,1,0,97,34,79,0.43,10,30,0.333,19,22,0.864,8,26,34,22,5,3,10,13,0.547,0.494,0.38,0.278,18.6,70.3,42.5,64.7,5.6,5.9,10.1,109.2,114.8,102,40,82,0.488,13,31,0.419,9,13,0.692,11,35,46,15,5,3,15,17,0.581,0.567,0.378,0.159,29.7,81.4,57.5,37.5,5.6,6.1,14.6,114.8,109.2
2023-04-17 19:30:00,BKN,PHI,0,0,84,30,80,0.375,13,42,0.31,11,17,0.647,5,28,33,24,10,1,9,20,0.48,0.456,0.525,0.213,10.4,68.3,37.1,80.0,11.1,2.2,9.3,93.0,106.3,96,36,80,0.45,11,35,0.314,13,16,0.813,13,43,56,21,8,7,19,22,0.551,0.519,0.438,0.2,31.7,89.6,62.9,58.3,8.9,18.4,17.9,106.3,93.0
2023-04-15 13:00:00,BKN,PHI,0,0,101,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,20,15,0.659,0.65,0.414,0.214,17.2,68.2,47.9,59.0,3.4,10.9,20.7,113.1,135.4,121,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,9,17,0.63,0.59,0.483,0.18,31.8,82.8,52.1,76.2,15.7,7.3,8.6,135.4,113.1
2023-04-09 13:00:00,BKN,PHI,1,0,105,35,83,0.422,12,32,0.375,23,28,0.821,10,32,42,22,6,6,19,22,0.551,0.494,0.386,0.337,21.3,71.1,45.7,62.9,5.7,8.7,16.6,100.5,128.2,134,53,101,0.525,14,32,0.438,14,19,0.737,13,37,50,31,10,5,13,23,0.613,0.594,0.317,0.188,28.9,78.7,54.3,58.5,9.6,9.8,10.6,128.2,100.5
2023-04-07 19:30:00,BKN,ORL,1,1,101,35,89,0.393,9,42,0.214,22,25,0.88,10,35,45,27,14,3,10,12,0.505,0.444,0.472,0.281,19.2,70.0,44.1,77.1,14.4,6.1,9.1,103.7,86.3,84,31,87,0.356,7,38,0.184,15,17,0.882,15,42,57,17,6,6,21,19,0.445,0.397,0.437,0.195,30.0,80.8,55.9,54.8,6.2,12.8,18.2,86.3,103.7
2023-04-05 19:00:00,BKN,DET,0,1,123,45,86,0.523,17,43,0.395,16,23,0.696,11,27,38,36,6,7,13,12,0.64,0.622,0.5,0.267,30.6,75.0,52.8,80.0,6.4,12.5,11.9,131.6,115.6,108,41,84,0.488,13,28,0.464,13,14,0.929,9,25,34,27,5,3,14,18,0.599,0.565,0.333,0.167,25.0,69.4,47.2,65.9,5.4,7.0,13.4,115.6,131.6
2023-04-04 19:30:00,BKN,MIN,1,0,102,39,90,0.433,13,35,0.371,11,14,0.786,7,33,40,21,6,8,10,18,0.53,0.506,0.389,0.156,15.9,82.5,47.6,53.8,6.2,13.1,9.4,104.9,110.0,107,41,85,0.482,8,24,0.333,17,22,0.773,7,37,44,21,7,6,12,13,0.565,0.529,0.282,0.259,17.5,84.1,52.4,51.2,7.2,10.9,11.2,110.0,104.9
2023-04-02 15:30:00,BKN,UTA,1,1,111,38,86,0.442,9,32,0.281,26,34,0.765,7,33,40,25,6,2,9,26,0.55,0.494,0.372,0.395,14.6,75.0,43.5,65.8,6.0,3.4,8.2,110.2,109.2,110,40,91,0.44,8,32,0.25,22,30,0.733,11,41,52,24,5,1,11,23,0.528,0.484,0.352,0.33,25.0,85.4,56.5,60.0,5.0,1.9,9.5,109.2,110.2
2023-03-31 19:30:00,BKN,ATL,1,1,124,49,88,0.557,15,33,0.455,11,13,0.846,9,32,41,33,9,3,13,17,0.662,0.642,0.375,0.148,23.1,66.7,47.1,67.3,9.5,5.6,12.2,131.1,113.1,107,39,91,0.429,8,37,0.216,21,23,0.913,16,30,46,23,6,3,11,14,0.529,0.473,0.407,0.253,33.3,76.9,52.9,59.0,6.3,5.5,9.8,113.1,131.1
2023-03-29 19:30:00,BKN,HOU,1,1,123,44,82,0.537,17,35,0.486,18,27,0.667,8,33,41,33,4,9,12,18,0.655,0.64,0.427,0.329,20.0,62.3,44.1,75.0,4.2,13.2,11.3,128.1,118.7,114,46,98,0.469,9,30,0.3,13,21,0.619,20,32,52,21,9,2,10,18,0.532,0.515,0.306,0.214,37.7,80.0,55.9,45.7,9.4,4.3,8.5,118.7,128.1
2023-03-26 18:00:00,BKN,ORL,0,0,106,37,91,0.407,8,35,0.229,24,28,0.857,15,29,44,17,7,8,15,20,0.513,0.451,0.385,0.308,28.3,76.3,48.4,45.9,7.1,12.7,12.7,107.1,120.3,119,45,85,0.529,7,22,0.318,22,28,0.786,9,38,47,30,7,3,11,21,0.611,0.571,0.259,0.329,23.7,71.7,51.6,66.7,7.1,5.4,10.2,120.3,107.1
2023-03-25 20:00:00,BKN,MIA,0,1,129,44,89,0.494,18,40,0.45,23,25,0.92,17,28,45,30,6,6,8,18,0.645,0.596,0.449,0.281,41.5,77.8,58.4,68.2,6.8,12.0,7.4,146.1,113.2,100,38,80,0.475,12,30,0.4,12,14,0.857,8,24,32,22,5,4,14,19,0.58,0.55,0.375,0.175,22.2,58.5,41.6,57.9,5.7,8.2,14.0,113.2,146.1
2023-03-23 19:30:00,BKN,CLE,1,0,114,39,81,0.481,12,34,0.353,24,27,0.889,9,33,42,24,7,7,16,21,0.614,0.556,0.42,0.333,25.0,71.7,51.2,61.5,7.3,12.3,14.7,118.9,121.0,116,42,89,0.472,12,32,0.375,20,26,0.769,13,27,40,24,7,7,10,21,0.577,0.539,0.36,0.292,28.3,75.0,48.8,57.1,7.3,14.9,9.1,121.0,118.9
2023-03-21 19:30:00,BKN,CLE,1,0,109,41,92,0.446,9,33,0.273,18,23,0.783,19,30,49,25,6,5,17,19,0.534,0.495,0.359,0.25,42.2,78.9,59.0,61.0,6.3,9.3,14.3,113.9,120.2,115,42,83,0.506,14,29,0.483,17,21,0.81,8,26,34,23,6,3,14,20,0.623,0.59,0.349,0.253,21.1,57.8,41.0,54.8,6.3,5.1,13.2,120.2,113.9
2023-03-19 15:30:00,BKN,DEN,1,0,102,38,82,0.463,12,35,0.343,14,16,0.875,9,24,33,26,10,3,12,16,0.573,0.537,0.427,0.195,20.9,80.0,45.2,68.4,10.8,5.3,11.9,110.5,117.0,108,42,80,0.525,12,23,0.522,12,13,0.923,6,34,40,31,5,3,17,17,0.63,0.6,0.288,0.163,20.0,79.1,54.8,73.8,5.4,6.4,16.5,117.0,110.5
2023-03-16 19:30:00,BKN,SAC,1,0,96,33,80,0.413,14,39,0.359,16,23,0.696,3,38,41,20,8,4,7,22,0.533,0.5,0.488,0.288,6.4,74.5,41.8,60.6,8.6,9.8,7.2,103.1,108.5,101,32,82,0.39,13,41,0.317,24,32,0.75,13,44,57,22,2,5,12,17,0.526,0.47,0.5,0.39,25.5,93.6,58.2,68.8,2.1,12.2,11.1,108.5,103.1
2023-03-14 20:00:00,BKN,OKC,0,0,107,35,82,0.427,12,41,0.293,25,34,0.735,11,35,46,25,3,5,17,20,0.552,0.5,0.5,0.415,22.9,71.4,47.4,71.4,2.9,7.6,14.9,105.0,118.8,121,45,99,0.455,11,33,0.333,20,23,0.87,14,37,51,22,9,0,11,25,0.554,0.51,0.333,0.232,28.6,77.1,52.6,48.9,8.8,0.0,9.2,118.8,105.0
2023-03-12 15:30:00,BKN,DEN,0,1,122,42,84,0.5,17,44,0.386,21,24,0.875,4,24,28,32,11,2,10,21,0.645,0.601,0.524,0.286,10.5,61.5,36.4,76.2,11.3,3.4,9.6,125.2,123.1,120,45,90,0.5,12,31,0.387,18,24,0.75,15,34,49,27,4,8,15,19,0.597,0.567,0.344,0.267,38.5,89.5,63.6,60.0,4.1,20.0,13.0,123.1,125.2
2023-03-10 20:00:00,BKN,MIN,0,1,124,42,91,0.462,16,34,0.471,24,33,0.727,12,36,48,20,7,5,15,26,0.588,0.549,0.374,0.363,25.5,75.0,50.5,47.6,6.5,7.4,12.4,114.8,113.9,123,48,98,0.49,9,30,0.3,18,29,0.621,12,35,47,29,10,6,14,21,0.555,0.536,0.306,0.296,25.0,74.5,49.5,60.4,9.3,10.5,11.2,113.9,114.8
2023-03-09 20:00:00,BKN,MIL,0,0,113,41,104,0.394,14,36,0.389,17,17,1.0,15,32,47,20,10,4,14,12,0.507,0.462,0.346,0.163,26.8,61.5,43.5,48.8,9.6,7.4,11.2,108.8,113.7,118,44,104,0.423,19,50,0.38,11,14,0.786,20,41,61,33,8,12,16,14,0.536,0.514,0.481,0.135,38.5,73.2,56.5,75.0,7.7,17.6,12.7,113.7,108.8
2023-03-07 20:00:00,BKN,HOU,0,1,118,40,81,0.494,15,40,0.375,23,29,0.793,5,31,36,23,12,7,12,21,0.629,0.586,0.494,0.358,13.2,67.4,42.9,57.5,12.4,12.3,11.3,121.6,99.0,96,36,83,0.434,7,26,0.269,17,24,0.708,15,33,48,14,6,1,19,22,0.513,0.476,0.313,0.289,32.6,86.8,57.1,38.9,6.2,2.4,16.9,99.0,121.6
2023-03-05 18:00:00,BKN,CHA,1,1,102,36,92,0.391,12,43,0.279,18,22,0.818,8,44,52,21,5,9,8,12,0.502,0.457,0.467,0.239,15.4,89.8,51.5,58.3,5.1,15.5,7.3,103.3,87.1,86,33,88,0.375,8,30,0.267,12,15,0.8,5,44,49,17,2,3,10,19,0.455,0.42,0.341,0.17,10.2,84.6,48.5,51.5,2.0,6.1,9.6,87.1,103.3
2023-03-03 19:30:00,BKN,BOS,0,1,115,40,95,0.421,14,44,0.318,21,26,0.808,13,34,47,25,9,6,13,20,0.54,0.495,0.463,0.274,25.0,79.1,49.5,62.5,8.8,10.9,10.9,112.2,102.4,105,41,84,0.488,9,29,0.31,14,20,0.7,9,39,48,26,8,8,19,19,0.566,0.542,0.345,0.238,20.9,75.0,50.5,63.4,7.8,15.7,17.0,102.4,112.2
