DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2023-06-12 20:30:00,DEN,MIA,1,1,94,38,84,0.452,5,28,0.179,13,23,0.565,11,46,57,21,6,7,15,13,0.499,0.482,0.333,0.274,25.0,80.7,56.4,55.3,6.2,11.5,13.7,97.3,92.1,89,33,96,0.344,9,35,0.257,14,16,0.875,11,33,44,18,9,7,8,21,0.432,0.391,0.365,0.167,19.3,75.0,43.6,54.5,9.3,12.5,7.2,92.1,97.3
2023-06-09 20:30:00,DEN,MIA,0,1,108,39,79,0.494,14,28,0.5,16,21,0.762,5,29,34,26,11,7,8,18,0.612,0.582,0.354,0.266,14.7,78.4,47.9,66.7,12.2,13.2,8.3,119.9,105.5,95,35,78,0.449,8,25,0.32,17,20,0.85,8,29,37,23,2,3,15,19,0.547,0.5,0.321,0.256,21.6,85.3,52.1,65.7,2.2,5.9,14.7,105.5,119.9
2023-06-07 20:30:00,DEN,MIA,0,1,109,41,80,0.513,5,18,0.278,22,27,0.815,13,45,58,28,3,5,14,18,0.593,0.544,0.225,0.338,36.1,81.8,63.7,68.3,3.3,8.8,13.2,119.7,103.3,94,34,92,0.37,11,35,0.314,15,19,0.789,10,23,33,20,7,3,4,22,0.468,0.429,0.38,0.207,18.2,63.9,36.3,58.8,7.7,4.8,3.8,103.3,119.7
2023-06-04 20:00:00,DEN,MIA,1,0,108,39,75,0.52,11,28,0.393,19,22,0.864,9,29,38,23,7,2,14,21,0.638,0.593,0.373,0.293,28.1,78.4,55.1,59.0,8.0,4.7,14.2,123.6,127.1,111,38,78,0.487,17,35,0.486,18,20,0.9,8,23,31,28,5,4,11,22,0.639,0.596,0.449,0.256,21.6,71.9,44.9,73.7,5.7,8.5,11.2,127.1,123.6
2023-06-01 20:30:00,DEN,MIA,1,1,104,40,79,0.506,8,27,0.296,16,20,0.8,6,39,45,29,4,4,10,8,0.592,0.557,0.342,0.253,15.8,78.0,51.1,72.5,4.4,7.0,10.2,114.4,102.3,93,39,96,0.406,13,39,0.333,2,2,1.0,11,32,43,26,5,4,8,15,0.48,0.474,0.406,0.021,22.0,84.2,48.9,66.7,5.5,7.7,7.6,102.3,114.4
2023-05-22 20:30:00,DEN,LAL,0,1,113,41,85,0.482,12,33,0.364,19,22,0.864,11,29,40,25,3,9,11,20,0.597,0.553,0.388,0.259,26.8,78.4,51.3,61.0,3.3,13.6,10.4,122.9,120.7,111,40,86,0.465,8,20,0.4,23,26,0.885,8,30,38,20,5,4,6,19,0.57,0.512,0.233,0.302,21.6,73.2,48.7,50.0,5.4,7.7,5.8,120.7,122.9
2023-05-20 20:30:00,DEN,LAL,0,1,119,44,88,0.5,17,41,0.415,14,19,0.737,5,34,39,30,7,1,6,19,0.617,0.597,0.466,0.216,12.8,75.6,46.4,68.2,7.3,1.9,5.9,124.5,113.0,108,38,84,0.452,10,32,0.313,22,29,0.759,11,34,45,27,3,2,12,18,0.558,0.512,0.381,0.345,24.4,87.2,53.6,71.1,3.1,4.3,11.0,113.0,124.5
2023-05-18 20:30:00,DEN,LAL,1,1,108,39,89,0.438,14,38,0.368,16,18,0.889,11,38,49,27,8,2,17,18,0.557,0.517,0.427,0.202,23.4,90.5,55.1,69.2,8.0,3.8,14.9,107.8,102.8,103,36,82,0.439,8,30,0.267,23,26,0.885,4,36,40,26,10,7,12,19,0.551,0.488,0.366,0.317,9.5,76.6,44.9,72.2,10.0,13.7,11.4,102.8,107.8
2023-05-16 20:30:00,DEN,LAL,1,1,132,50,91,0.549,15,32,0.469,17,22,0.773,15,32,47,29,5,7,11,21,0.656,0.632,0.352,0.242,37.5,86.5,61.0,58.0,5.3,11.7,9.8,138.8,132.5,126,46,84,0.548,11,24,0.458,23,26,0.885,5,25,30,30,6,4,7,21,0.66,0.613,0.286,0.31,13.5,62.5,39.0,65.2,6.3,6.8,6.8,132.5,138.8
2023-05-11 22:00:00,DEN,PHX,0,1,125,44,82,0.537,8,22,0.364,29,31,0.935,7,34,41,24,10,3,11,22,0.653,0.585,0.268,0.378,20.6,94.4,58.6,54.5,10.2,5.9,10.3,127.8,102.3,100,38,79,0.481,11,28,0.393,13,20,0.65,2,27,29,20,3,5,14,22,0.569,0.551,0.354,0.253,5.6,79.4,41.4,52.6,3.1,8.3,13.8,102.3,127.8
