DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_USG%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_USG%,Opponent_ORTG,Opponent_DRTG
2024-04-14 15:30:00,HOU,LAC,0,1,116,50,103,0.485,11,38,0.289,5,14,0.357,17,42,59,31,7,8,18,13,0.531,0.539,0.369,0.136,32.7,72.4,53.6,62.0,6.6,11.9,14.2,100.0,109.3,98.9,105,41,104,0.394,8,37,0.216,15,17,0.882,16,35,51,23,13,8,12,14,0.471,0.433,0.356,0.163,27.6,67.3,46.4,56.1,12.2,12.3,9.7,100.0,98.9,109.3
2024-04-12 22:00:00,HOU,POR,0,1,116,44,92,0.478,11,39,0.282,17,20,0.85,10,38,48,25,3,5,9,20,0.575,0.538,0.424,0.217,23.8,70.4,50.0,56.8,3.1,8.3,8.2,100.0,120.8,111.5,107,37,95,0.389,12,35,0.343,21,29,0.724,16,32,48,20,4,5,7,14,0.496,0.453,0.368,0.305,29.6,76.2,50.0,54.1,4.2,9.4,6.1,100.0,111.5,120.8
2024-04-11 21:00:00,HOU,UTA,0,0,121,40,95,0.421,21,47,0.447,20,22,0.909,16,23,39,22,8,6,10,18,0.578,0.532,0.495,0.232,32.0,60.5,44.3,55.0,8.4,12.5,8.7,100.0,127.0,130.1,124,44,87,0.506,14,39,0.359,22,27,0.815,15,34,49,27,8,7,16,20,0.627,0.586,0.448,0.31,39.5,68.0,55.7,61.4,8.4,14.6,13.9,100.0,130.1,127.0
2024-04-09 20:00:00,HOU,ORL,1,1,118,45,86,0.523,15,35,0.429,13,18,0.722,6,31,37,29,8,7,12,21,0.628,0.61,0.407,0.209,15.8,75.6,46.8,64.4,8.2,11.3,11.3,100.0,120.3,108.0,106,39,86,0.453,7,24,0.292,21,23,0.913,10,32,42,23,9,6,15,15,0.551,0.494,0.279,0.267,24.4,84.2,53.2,59.0,9.2,11.8,13.5,100.0,108.0,120.3
2024-04-07 15:30:00,HOU,DAL,0,0,136,46,93,0.495,17,41,0.415,27,35,0.771,4,28,32,31,11,6,11,34,0.627,0.586,0.441,0.376,8.9,82.4,40.5,67.4,9.7,13.0,9.2,100.0,120.3,130.0,147,46,85,0.541,15,39,0.385,40,45,0.889,6,41,47,21,4,6,17,26,0.701,0.629,0.459,0.529,17.6,91.1,59.5,45.7,3.5,11.5,14.0,100.0,130.0,120.3
2024-04-05 20:00:00,HOU,MIA,1,0,104,34,90,0.378,14,44,0.318,22,25,0.88,12,33,45,25,7,2,9,13,0.515,0.456,0.489,0.278,23.1,80.5,48.4,73.5,7.3,3.8,8.2,100.0,108.2,123.8,119,44,89,0.494,13,36,0.361,18,21,0.857,8,40,48,27,8,4,9,18,0.606,0.567,0.404,0.236,19.5,76.9,51.6,61.4,8.3,8.7,8.4,100.0,123.8,108.2
2024-04-04 20:00:00,HOU,GSW,1,0,110,36,86,0.419,12,40,0.3,26,30,0.867,12,17,29,23,11,1,12,19,0.554,0.488,0.465,0.349,27.9,58.6,40.3,63.9,11.5,2.2,10.8,100.0,114.9,138.9,133,47,80,0.588,17,35,0.486,22,25,0.88,12,31,43,29,6,2,21,23,0.731,0.694,0.438,0.313,41.4,72.1,59.7,61.7,6.3,4.3,18.8,100.0,138.9,114.9
2024-04-02 20:00:00,HOU,MIN,0,0,106,41,92,0.446,14,48,0.292,10,14,0.714,12,25,37,23,10,0,15,23,0.54,0.522,0.522,0.152,26.7,80.6,48.7,56.1,10.3,0.0,13.3,100.0,109.1,116.3,113,41,77,0.532,11,26,0.423,20,22,0.909,6,33,39,29,12,5,18,17,0.652,0.604,0.338,0.286,19.4,73.3,51.3,70.7,12.3,11.4,17.2,100.0,116.3,109.1
2024-03-31 19:00:00,HOU,DAL,1,0,107,39,92,0.424,13,38,0.342,16,19,0.842,12,31,43,22,9,3,12,14,0.533,0.495,0.413,0.207,24.5,75.6,47.8,56.4,9.2,6.5,10.7,100.0,108.9,127.2,125,48,93,0.516,24,47,0.511,5,9,0.556,10,37,47,24,7,8,14,17,0.645,0.645,0.505,0.097,24.4,75.5,52.2,50.0,7.1,14.8,12.6,100.0,127.2,108.9
2024-03-29 21:30:00,HOU,UTA,0,1,101,35,91,0.385,13,42,0.31,18,28,0.643,15,30,45,19,10,6,10,18,0.489,0.456,0.462,0.308,27.3,73.2,46.9,54.3,10.4,12.2,8.8,100.0,105.1,104.1,100,37,80,0.463,8,31,0.258,18,19,0.947,11,40,51,23,4,9,21,23,0.566,0.513,0.388,0.238,26.8,72.7,53.1,62.2,4.2,18.4,19.2,100.0,104.1,105.1
