DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_USG%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_USG%,Opponent_ORTG,Opponent_DRTG
2024-05-27 20:00:00,IND,BOS,1,0,102,40,87,0.46,10,29,0.345,12,16,0.75,13,34,47,24,5,4,14,19,0.542,0.517,0.333,0.184,28.9,73.9,51.6,60.0,5.4,8.9,13.0,100.0,109.2,112.4,105,40,89,0.449,14,44,0.318,11,14,0.786,12,32,44,22,10,6,13,18,0.552,0.528,0.494,0.157,26.1,71.1,48.4,55.0,10.7,10.3,12.0,100.0,112.4,109.2
2024-05-25 20:30:00,IND,BOS,1,0,111,46,91,0.505,5,22,0.227,14,14,1.0,9,34,43,32,4,1,11,21,0.571,0.533,0.242,0.154,23.7,82.9,54.4,69.6,4.2,2.7,10.2,100.0,116.5,119.6,114,39,83,0.47,16,46,0.348,20,26,0.769,7,29,36,24,7,12,9,18,0.604,0.566,0.554,0.313,17.1,76.3,45.6,61.5,7.3,17.4,8.7,100.0,119.6,116.5
2024-05-23 20:00:00,IND,BOS,0,0,110,44,84,0.524,11,29,0.379,11,16,0.688,12,25,37,23,5,2,16,23,0.604,0.589,0.345,0.19,30.8,65.8,48.1,52.3,5.4,3.9,14.9,100.0,118.1,135.3,126,47,88,0.534,15,37,0.405,17,20,0.85,13,27,40,28,9,2,12,16,0.651,0.619,0.42,0.227,34.2,69.2,51.9,59.6,9.7,3.6,11.0,100.0,135.3,118.1
2024-05-21 20:00:00,IND,BOS,0,0,128,53,99,0.535,13,35,0.371,9,10,0.9,10,34,44,38,8,4,22,23,0.619,0.601,0.354,0.101,25.0,72.3,50.6,71.7,7.2,7.4,17.5,100.0,114.6,119.1,133,47,99,0.475,15,45,0.333,24,30,0.8,13,30,43,30,11,5,15,15,0.593,0.551,0.455,0.303,27.7,75.0,49.4,63.8,9.9,7.8,11.8,100.0,119.1,114.6
2024-05-19 15:30:00,IND,NYK,0,1,130,53,79,0.671,13,24,0.542,11,16,0.688,7,26,33,33,7,9,14,22,0.755,0.753,0.304,0.203,26.9,74.3,54.1,62.3,7.6,18.0,14.0,100.0,141.1,118.3,109,36,85,0.424,13,35,0.371,24,27,0.889,9,19,28,22,5,2,10,17,0.563,0.5,0.412,0.318,25.7,73.1,45.9,61.1,5.4,3.6,9.4,100.0,118.3,141.1
2024-05-17 20:30:00,IND,NYK,1,1,116,49,91,0.538,9,26,0.346,9,13,0.692,14,33,47,35,3,8,9,21,0.6,0.588,0.286,0.143,38.9,71.7,57.3,71.4,3.4,16.7,8.5,100.0,132.4,117.6,103,36,82,0.439,13,34,0.382,18,26,0.692,13,22,35,20,6,5,9,15,0.551,0.518,0.415,0.317,28.3,61.1,42.7,55.6,6.8,7.7,8.8,100.0,117.6,132.4
2024-05-14 20:00:00,IND,NYK,0,0,91,31,72,0.431,12,27,0.444,17,22,0.773,5,24,29,24,5,6,18,19,0.557,0.514,0.375,0.306,13.2,54.5,35.4,77.4,5.4,9.1,18.1,100.0,98.7,131.3,121,47,101,0.465,12,35,0.343,15,19,0.789,20,33,53,26,7,5,9,22,0.553,0.525,0.347,0.188,45.5,86.8,64.6,55.3,7.6,11.1,7.6,100.0,131.3,98.7
2024-05-12 15:30:00,IND,NYK,1,1,121,50,88,0.568,14,31,0.452,7,8,0.875,9,43,52,31,9,7,14,25,0.661,0.648,0.352,0.091,25.0,72.9,54.7,62.0,9.3,13.5,13.3,100.0,125.2,92.1,89,30,89,0.337,7,37,0.189,22,31,0.71,16,27,43,18,8,2,14,12,0.434,0.376,0.416,0.348,27.1,75.0,45.3,60.0,8.3,3.5,12.0,100.0,92.1,125.2
2024-05-10 19:00:00,IND,NYK,1,1,111,42,89,0.472,12,32,0.375,15,18,0.833,13,29,42,22,6,6,10,20,0.573,0.539,0.36,0.202,29.5,74.4,50.6,52.4,6.6,11.3,9.4,100.0,122.2,116.7,106,38,80,0.475,14,27,0.519,16,22,0.727,10,31,41,19,6,6,13,18,0.591,0.563,0.338,0.275,25.6,70.5,49.4,50.0,6.6,10.5,12.7,100.0,116.7,122.2
2024-05-08 20:00:00,IND,NYK,0,0,121,48,93,0.516,15,34,0.441,10,17,0.588,14,20,34,33,5,3,9,17,0.602,0.597,0.366,0.183,30.4,62.5,43.6,68.8,5.4,5.4,8.2,100.0,130.7,140.5,130,49,86,0.57,14,30,0.467,18,22,0.818,12,32,44,28,5,3,11,14,0.679,0.651,0.349,0.256,37.5,69.6,56.4,57.1,5.4,5.1,10.3,100.0,140.5,130.7
