DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_USG%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_USG%,Opponent_ORTG,Opponent_DRTG
2024-05-03 21:30:00,LAC,DAL,0,0,101,34,82,0.415,8,31,0.258,25,32,0.781,16,29,45,23,4,2,11,26,0.526,0.463,0.378,0.39,37.2,61.7,50.0,67.6,4.6,4.3,10.3,100.0,115.3,130.1,114,40,83,0.482,12,36,0.333,22,33,0.667,18,27,45,26,6,4,10,24,0.584,0.554,0.434,0.398,38.3,62.8,50.0,65.0,6.8,7.8,9.3,100.0,130.1,115.3
2024-05-01 22:00:00,LAC,DAL,1,0,93,33,87,0.379,9,35,0.257,18,21,0.857,14,31,45,18,4,0,15,19,0.483,0.431,0.402,0.241,31.1,77.5,52.9,54.5,4.3,0.0,13.5,100.0,99.0,131.0,123,47,87,0.54,14,39,0.359,15,20,0.75,9,31,40,27,5,6,10,22,0.642,0.621,0.448,0.23,22.5,68.9,47.1,57.4,5.3,11.5,9.5,100.0,131.0,99.0
2024-04-28 15:30:00,LAC,DAL,0,1,116,43,80,0.538,18,29,0.621,12,18,0.667,5,24,29,22,10,6,13,27,0.66,0.65,0.363,0.225,15.2,63.2,40.8,51.2,10.8,12.5,12.9,100.0,124.7,119.3,111,40,81,0.494,11,33,0.333,20,25,0.8,14,28,42,22,5,5,17,21,0.603,0.562,0.407,0.309,36.8,84.8,59.2,55.0,5.4,9.8,15.6,100.0,119.3,124.7
2024-04-26 20:00:00,LAC,DAL,0,0,90,32,70,0.457,10,29,0.345,16,20,0.8,8,33,41,19,5,4,19,24,0.571,0.529,0.414,0.286,24.2,75.0,53.2,59.4,5.6,7.8,19.4,100.0,101.6,114.0,101,39,86,0.453,9,35,0.257,14,19,0.737,11,25,36,21,12,7,9,16,0.535,0.506,0.407,0.221,25.0,75.8,46.8,53.8,13.5,17.1,8.7,100.0,114.0,101.6
2024-04-23 22:00:00,LAC,DAL,1,0,93,32,87,0.368,8,30,0.267,21,26,0.808,14,33,47,18,9,4,9,19,0.472,0.414,0.345,0.299,26.4,75.0,48.5,56.3,10.0,9.3,8.4,100.0,103.4,106.7,96,32,76,0.421,14,33,0.424,18,27,0.667,11,39,50,17,8,7,14,23,0.546,0.513,0.434,0.355,25.0,73.6,51.5,53.1,8.9,12.3,13.7,100.0,106.7,103.4
2024-04-21 15:30:00,LAC,DAL,1,1,109,40,87,0.46,18,36,0.5,11,13,0.846,10,35,45,21,5,3,14,22,0.588,0.563,0.414,0.149,23.8,79.5,52.3,52.5,5.4,6.4,13.1,100.0,117.4,104.5,97,31,80,0.388,10,33,0.303,25,33,0.758,9,32,41,14,7,9,9,15,0.513,0.45,0.413,0.413,20.5,76.2,47.7,45.2,7.5,17.6,8.7,100.0,104.5,117.4
2024-04-14 15:30:00,LAC,HOU,1,0,105,41,104,0.394,8,37,0.216,15,17,0.882,16,35,51,23,13,8,12,14,0.471,0.433,0.356,0.163,27.6,67.3,46.4,56.1,12.2,12.3,9.7,100.0,98.9,109.3,116,50,103,0.485,11,38,0.289,5,14,0.357,17,42,59,31,7,8,18,13,0.531,0.539,0.369,0.136,32.7,72.4,53.6,62.0,6.6,11.9,14.2,100.0,109.3,98.9
2024-04-12 22:30:00,LAC,UTA,1,0,109,43,96,0.448,10,39,0.256,13,19,0.684,20,24,44,23,9,7,13,17,0.522,0.5,0.406,0.198,38.5,63.2,48.9,53.5,9.4,13.2,11.1,100.0,113.4,114.4,110,41,88,0.466,6,35,0.171,22,25,0.88,14,32,46,26,7,4,18,14,0.556,0.5,0.398,0.284,36.8,61.5,51.1,63.4,7.3,7.0,15.4,100.0,114.4,113.4
2024-04-10 22:30:00,LAC,PHX,1,0,108,44,95,0.463,12,36,0.333,8,10,0.8,9,35,44,23,9,3,13,13,0.543,0.526,0.379,0.105,18.8,79.5,47.8,52.3,8.8,6.7,11.6,100.0,105.3,120.9,124,46,95,0.484,18,50,0.36,14,15,0.933,9,39,48,29,8,6,13,13,0.61,0.579,0.526,0.158,20.5,81.3,52.2,63.0,7.8,10.2,11.3,100.0,120.9,105.3
2024-04-09 22:00:00,LAC,PHX,0,1,105,41,87,0.471,12,26,0.462,11,11,1.0,10,53,63,28,5,3,21,22,0.572,0.54,0.299,0.126,25.0,86.9,62.4,68.3,5.0,5.6,18.6,100.0,105.0,92.0,92,30,89,0.337,8,35,0.229,24,28,0.857,8,30,38,17,16,7,8,13,0.454,0.382,0.393,0.315,13.1,75.0,37.6,56.7,16.0,11.5,7.3,100.0,92.0,105.0
