DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2023-06-12 20:30:00,MIA,DEN,0,0,89,33,96,0.344,9,35,0.257,14,16,0.875,11,33,44,18,9,7,8,21,0.432,0.391,0.365,0.167,19.3,75.0,43.6,54.5,9.3,12.5,7.2,92.1,97.3,94,38,84,0.452,5,28,0.179,13,23,0.565,11,46,57,21,6,7,15,13,0.499,0.482,0.333,0.274,25.0,80.7,56.4,55.3,6.2,11.5,13.7,97.3,92.1
2023-06-09 20:30:00,MIA,DEN,1,0,95,35,78,0.449,8,25,0.32,17,20,0.85,8,29,37,23,2,3,15,19,0.547,0.5,0.321,0.256,21.6,85.3,52.1,65.7,2.2,5.9,14.7,105.5,119.9,108,39,79,0.494,14,28,0.5,16,21,0.762,5,29,34,26,11,7,8,18,0.612,0.582,0.354,0.266,14.7,78.4,47.9,66.7,12.2,13.2,8.3,119.9,105.5
2023-06-07 20:30:00,MIA,DEN,1,0,94,34,92,0.37,11,35,0.314,15,19,0.789,10,23,33,20,7,3,4,22,0.468,0.429,0.38,0.207,18.2,63.9,36.3,58.8,7.7,4.8,3.8,103.3,119.7,109,41,80,0.513,5,18,0.278,22,27,0.815,13,45,58,28,3,5,14,18,0.593,0.544,0.225,0.338,36.1,81.8,63.7,68.3,3.3,8.8,13.2,119.7,103.3
2023-06-04 20:00:00,MIA,DEN,0,1,111,38,78,0.487,17,35,0.486,18,20,0.9,8,23,31,28,5,4,11,22,0.639,0.596,0.449,0.256,21.6,71.9,44.9,73.7,5.7,8.5,11.2,127.1,123.6,108,39,75,0.52,11,28,0.393,19,22,0.864,9,29,38,23,7,2,14,21,0.638,0.593,0.373,0.293,28.1,78.4,55.1,59.0,8.0,4.7,14.2,123.6,127.1
2023-06-01 20:30:00,MIA,DEN,0,0,93,39,96,0.406,13,39,0.333,2,2,1.0,11,32,43,26,5,4,8,15,0.48,0.474,0.406,0.021,22.0,84.2,48.9,66.7,5.5,7.7,7.6,102.3,114.4,104,40,79,0.506,8,27,0.296,16,20,0.8,6,39,45,29,4,4,10,8,0.592,0.557,0.342,0.253,15.8,78.0,51.1,72.5,4.4,7.0,10.2,114.4,102.3
2023-05-29 20:30:00,MIA,BOS,0,1,103,42,86,0.488,14,28,0.5,5,6,0.833,7,35,42,26,7,2,14,15,0.581,0.57,0.326,0.07,18.9,77.8,51.2,61.9,7.6,5.0,13.6,112.1,91.4,84,32,82,0.39,9,42,0.214,11,13,0.846,10,30,40,18,6,4,15,13,0.479,0.445,0.512,0.159,22.2,81.1,48.8,56.3,6.5,6.9,14.6,91.4,112.1
2023-05-27 20:30:00,MIA,BOS,1,0,103,33,93,0.355,14,30,0.467,23,29,0.793,17,30,47,22,5,4,5,24,0.487,0.43,0.323,0.312,32.7,71.4,50.0,66.7,5.6,9.3,4.5,115.2,116.4,104,34,78,0.436,7,35,0.2,29,34,0.853,12,35,47,18,4,8,12,22,0.559,0.481,0.449,0.436,28.6,67.3,50.0,52.9,4.5,12.7,11.4,116.4,115.2
2023-05-25 20:30:00,MIA,BOS,0,0,97,40,78,0.513,9,23,0.391,8,10,0.8,10,26,36,20,6,2,16,13,0.589,0.571,0.295,0.128,28.6,68.4,49.3,50.0,7.1,5.0,16.3,114.2,129.6,110,40,79,0.506,16,39,0.41,14,19,0.737,12,25,37,23,13,4,10,9,0.63,0.608,0.494,0.241,31.6,71.4,50.7,57.5,15.3,7.3,10.3,129.6,114.2
2023-05-23 20:30:00,MIA,BOS,1,0,99,34,78,0.436,8,32,0.25,23,28,0.821,12,32,44,18,5,2,16,18,0.548,0.487,0.41,0.359,27.3,82.1,53.0,52.9,5.4,5.1,15.0,106.6,124.9,116,43,84,0.512,18,45,0.4,12,18,0.667,7,32,39,28,8,8,10,24,0.631,0.619,0.536,0.214,17.9,72.7,47.0,65.1,8.6,17.4,9.8,124.9,106.6
2023-05-21 20:30:00,MIA,BOS,1,1,128,46,81,0.568,19,35,0.543,17,21,0.81,1,34,35,25,7,4,10,16,0.709,0.685,0.432,0.259,2.7,61.8,38.0,54.3,7.2,7.1,10.0,131.9,105.1,102,39,98,0.398,11,42,0.262,13,17,0.765,21,36,57,25,3,3,15,24,0.484,0.454,0.429,0.173,38.2,97.3,62.0,64.1,3.1,6.5,12.5,105.1,131.9
