DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2023-05-12 19:30:00,NYK,MIA,0,0,92,27,71,0.38,10,35,0.286,28,32,0.875,8,33,41,13,2,9,12,22,0.541,0.451,0.493,0.451,19.5,82.5,50.6,48.1,2.3,16.4,12.4,104.3,108.8,96,33,82,0.402,7,27,0.259,23,25,0.92,7,33,40,25,8,2,7,22,0.516,0.445,0.329,0.305,17.5,80.5,49.4,75.8,9.1,5.6,7.0,108.8,104.3
2023-05-10 19:30:00,NYK,MIA,1,1,112,35,71,0.493,13,34,0.382,29,40,0.725,14,36,50,23,6,4,19,19,0.632,0.585,0.479,0.563,37.8,76.6,59.5,65.7,6.4,8.9,17.7,120.3,110.6,103,37,88,0.42,13,43,0.302,16,19,0.842,11,23,34,27,11,4,12,30,0.534,0.494,0.489,0.216,23.4,62.2,40.5,73.0,11.8,10.8,11.1,110.6,120.3
2023-05-08 19:30:00,NYK,MIA,0,0,101,37,76,0.487,9,28,0.321,18,24,0.75,8,27,35,21,5,4,17,23,0.583,0.546,0.368,0.316,20.5,67.5,44.3,56.8,5.4,8.7,16.4,109.1,117.7,109,40,85,0.471,13,39,0.333,16,22,0.727,13,31,44,28,7,4,13,21,0.576,0.547,0.459,0.259,32.5,79.5,55.7,70.0,7.6,8.3,12.1,117.7,109.1
2023-05-06 15:30:00,NYK,MIA,0,0,86,31,91,0.341,8,40,0.2,16,22,0.727,14,34,48,15,4,3,13,22,0.427,0.385,0.44,0.242,27.5,72.3,49.0,48.4,4.1,5.2,11.4,88.1,107.5,105,35,90,0.389,7,32,0.219,28,31,0.903,13,37,50,17,3,5,14,25,0.507,0.428,0.356,0.344,27.7,72.5,51.0,48.6,3.1,9.8,11.9,107.5,88.1
2023-05-02 19:30:00,NYK,MIA,1,1,111,37,82,0.451,16,40,0.4,21,30,0.7,11,39,50,23,4,2,11,20,0.583,0.549,0.488,0.366,29.7,83.0,59.5,62.2,4.4,5.6,10.4,122.7,116.1,105,38,85,0.447,17,49,0.347,12,17,0.706,8,26,34,24,1,2,7,24,0.568,0.547,0.576,0.2,17.0,70.3,40.5,63.2,1.1,4.8,7.0,116.1,122.7
2023-04-30 13:00:00,NYK,MIA,1,0,101,41,86,0.477,7,34,0.206,12,20,0.6,12,36,48,20,6,4,13,21,0.533,0.517,0.395,0.233,29.3,78.3,55.2,48.8,6.4,8.7,12.1,108.0,115.4,108,36,85,0.424,13,39,0.333,23,29,0.793,10,29,39,26,8,5,9,14,0.552,0.5,0.459,0.341,21.7,70.7,44.8,72.2,8.6,9.6,8.4,115.4,108.0
2023-04-26 19:00:00,NYK,CLE,0,1,106,37,85,0.435,9,29,0.31,23,29,0.793,17,31,48,21,6,5,14,17,0.542,0.488,0.341,0.341,39.5,88.6,61.5,56.8,6.7,11.9,12.5,118.2,105.9,95,35,75,0.467,13,33,0.394,12,15,0.8,4,26,30,24,5,2,13,22,0.582,0.553,0.44,0.2,11.4,60.5,38.5,68.6,5.6,3.6,13.7,105.9,118.2
2023-04-23 13:00:00,NYK,CLE,1,1,102,38,84,0.452,8,29,0.276,18,28,0.643,17,30,47,15,5,7,14,15,0.529,0.5,0.345,0.333,39.5,81.1,58.8,39.5,5.6,13.0,12.7,113.9,103.9,93,36,77,0.468,6,23,0.261,15,19,0.789,7,26,33,24,3,5,13,23,0.545,0.506,0.299,0.247,18.9,60.5,41.3,66.7,3.4,9.1,13.2,103.9,113.9
2023-04-21 20:30:00,NYK,CLE,1,1,99,39,83,0.47,10,33,0.303,11,18,0.611,11,34,45,21,14,5,14,17,0.544,0.53,0.398,0.217,27.5,72.3,51.7,53.8,15.2,10.6,13.3,107.3,85.6,79,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,21,18,0.452,0.431,0.413,0.213,27.7,72.5,48.3,51.6,7.6,8.0,19.4,85.6,107.3
2023-04-18 19:30:00,NYK,CLE,0,0,90,29,79,0.367,7,29,0.241,25,30,0.833,13,23,36,16,14,5,18,18,0.488,0.411,0.367,0.38,28.9,67.6,45.6,55.2,15.3,11.4,16.3,98.1,116.7,107,38,77,0.494,14,33,0.424,17,21,0.81,11,32,43,26,10,7,18,22,0.62,0.584,0.429,0.273,32.4,71.1,54.4,68.4,10.9,14.0,17.3,116.7,98.1
