DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2023-04-09 13:00:00,ORL,MIA,0,0,110,38,90,0.422,17,47,0.362,17,24,0.708,13,30,43,29,13,1,14,17,0.547,0.517,0.522,0.267,26.0,81.1,49.4,76.3,13.0,2.6,12.2,109.8,122.7,123,45,83,0.542,18,44,0.409,15,20,0.75,7,37,44,30,10,3,18,20,0.67,0.651,0.53,0.241,18.9,74.0,50.6,66.7,10.0,7.0,16.4,122.7,109.8
2023-04-07 19:30:00,ORL,BKN,0,0,84,31,87,0.356,7,38,0.184,15,17,0.882,15,42,57,17,6,6,21,19,0.445,0.397,0.437,0.195,30.0,80.8,55.9,54.8,6.2,12.8,18.2,86.3,103.7,101,35,89,0.393,9,42,0.214,22,25,0.88,10,35,45,27,14,3,10,12,0.505,0.444,0.472,0.281,19.2,70.0,44.1,77.1,14.4,6.1,9.1,103.7,86.3
2023-04-06 19:00:00,ORL,CLE,1,0,94,33,83,0.398,13,39,0.333,15,19,0.789,9,30,39,21,8,8,22,11,0.514,0.476,0.47,0.229,21.4,76.9,48.1,63.6,8.0,16.0,19.4,94.3,118.4,118,46,88,0.523,18,38,0.474,8,9,0.889,9,33,42,31,13,7,17,21,0.642,0.625,0.432,0.102,23.1,78.6,51.9,67.4,13.0,15.9,15.6,118.4,94.3
2023-04-04 19:00:00,ORL,CLE,1,0,113,45,89,0.506,10,23,0.435,13,17,0.765,13,34,47,25,6,1,13,22,0.586,0.562,0.258,0.191,34.2,87.2,61.0,55.6,6.4,1.9,11.9,120.3,124.5,117,42,84,0.5,15,31,0.484,18,20,0.9,5,25,30,23,3,7,9,16,0.63,0.589,0.369,0.238,12.8,65.8,39.0,54.8,3.2,10.6,8.8,124.5,120.3
2023-04-02 18:00:00,ORL,DET,1,1,128,43,75,0.573,17,33,0.515,25,40,0.625,7,34,41,30,11,6,16,26,0.691,0.687,0.44,0.533,19.4,79.1,51.9,69.8,11.1,13.3,14.7,129.0,102.8,102,32,78,0.41,9,33,0.273,29,36,0.806,9,29,38,22,4,1,16,29,0.543,0.468,0.423,0.462,20.9,80.6,48.1,68.8,4.0,2.4,14.6,102.8,129.0
2023-03-31 19:00:00,ORL,WAS,0,1,116,44,88,0.5,8,24,0.333,20,26,0.769,6,42,48,26,2,14,11,16,0.583,0.545,0.273,0.295,14.3,73.7,48.5,59.1,1.9,25.5,10.0,111.8,105.1,109,41,105,0.39,17,50,0.34,10,12,0.833,15,36,51,24,5,5,13,24,0.494,0.471,0.476,0.114,26.3,85.7,51.5,58.5,4.8,7.8,10.5,105.1,111.8
2023-03-28 20:00:00,ORL,MEM,0,0,108,41,100,0.41,14,49,0.286,12,15,0.8,8,39,47,24,9,8,16,15,0.507,0.48,0.49,0.15,16.0,84.8,49.0,58.5,8.2,14.8,13.1,98.8,103.4,113,42,88,0.477,12,34,0.353,17,23,0.739,7,42,49,26,11,6,17,17,0.576,0.545,0.386,0.261,15.2,84.0,51.0,61.9,10.1,11.8,14.8,103.4,98.8
2023-03-26 18:00:00,ORL,BKN,1,1,119,45,85,0.529,7,22,0.318,22,28,0.786,9,38,47,30,7,3,11,21,0.611,0.571,0.259,0.329,23.7,71.7,51.6,66.7,7.1,5.4,10.2,120.3,107.1,106,37,91,0.407,8,35,0.229,24,28,0.857,15,29,44,17,7,8,15,20,0.513,0.451,0.385,0.308,28.3,76.3,48.4,45.9,7.1,12.7,12.7,107.1,120.3
2023-03-23 19:00:00,ORL,NYK,1,1,111,40,87,0.46,13,32,0.406,18,21,0.857,8,35,43,25,8,7,16,19,0.577,0.534,0.368,0.241,20.5,72.9,49.4,62.5,8.1,14.6,14.3,112.3,107.2,106,37,88,0.42,12,40,0.3,20,26,0.769,13,31,44,26,8,8,13,15,0.533,0.489,0.455,0.295,27.1,79.5,50.6,70.3,8.1,14.5,11.6,107.2,112.3
2023-03-21 19:00:00,ORL,WAS,1,1,122,43,80,0.538,12,27,0.444,24,25,0.96,7,35,42,27,7,5,16,21,0.67,0.613,0.338,0.313,19.4,89.7,56.0,62.8,7.0,9.8,15.0,122.0,112.0,112,42,83,0.506,10,32,0.313,18,23,0.783,4,29,33,30,7,4,14,23,0.601,0.566,0.386,0.277,10.3,80.6,44.0,71.4,7.0,7.5,13.1,112.0,122.0
2023-03-19 21:30:00,ORL,LAL,0,0,105,41,102,0.402,10,38,0.263,13,17,0.765,13,31,44,24,8,3,8,28,0.48,0.451,0.373,0.167,23.2,77.5,45.8,58.5,8.1,6.5,6.8,106.4,112.5,111,36,78,0.462,13,32,0.406,26,32,0.813,9,43,52,25,2,9,15,19,0.603,0.545,0.41,0.41,22.5,76.8,54.2,69.4,2.0,14.1,14.0,112.5,106.4
2023-03-18 15:00:00,ORL,LAC,0,1,113,42,84,0.5,10,31,0.323,19,25,0.76,9,36,45,23,14,5,18,22,0.595,0.56,0.369,0.298,23.1,73.5,51.1,54.8,13.8,7.4,15.9,111.5,106.6,108,42,90,0.467,6,22,0.273,18,24,0.75,13,30,43,23,9,3,15,24,0.537,0.5,0.244,0.267,26.5,76.9,48.9,54.8,8.9,5.7,13.0,106.6,111.5
2023-03-16 22:00:00,ORL,PHX,0,0,113,43,86,0.5,8,28,0.286,19,23,0.826,11,36,47,25,7,3,19,20,0.588,0.547,0.326,0.267,28.2,83.7,57.3,58.1,6.9,5.5,16.5,110.9,113.8,116,43,90,0.478,13,35,0.371,17,17,1.0,7,28,35,26,7,5,14,22,0.595,0.55,0.389,0.189,16.3,71.8,42.7,60.5,6.9,8.6,12.6,113.8,110.9
2023-03-14 20:00:00,ORL,SAS,0,0,114,44,97,0.454,10,29,0.345,16,21,0.762,13,29,42,24,7,2,9,16,0.537,0.505,0.299,0.216,24.5,80.6,47.2,54.5,7.0,4.5,7.8,114.0,132.0,132,48,85,0.565,22,41,0.537,14,18,0.778,7,40,47,39,6,7,15,17,0.71,0.694,0.482,0.212,19.4,75.5,52.8,81.3,6.0,10.3,13.9,132.0,114.0
2023-03-11 19:00:00,ORL,MIA,1,1,126,48,99,0.485,13,37,0.351,17,20,0.85,15,39,54,34,10,10,19,20,0.584,0.551,0.374,0.202,33.3,88.6,60.7,70.8,9.1,17.5,15.0,114.3,103.4,114,42,94,0.447,11,37,0.297,19,20,0.95,5,30,35,19,8,2,17,17,0.554,0.505,0.394,0.213,11.4,66.7,39.3,45.2,7.3,3.2,14.2,103.4,114.3
2023-03-09 19:00:00,ORL,UTA,1,0,124,44,94,0.468,16,34,0.471,20,31,0.645,12,24,36,21,9,4,10,16,0.576,0.553,0.362,0.33,27.9,68.6,46.2,47.7,8.9,7.4,8.5,122.3,129.2,131,49,88,0.557,13,34,0.382,20,21,0.952,11,31,42,27,7,8,18,26,0.674,0.631,0.386,0.239,31.4,72.1,53.8,55.1,6.9,13.3,15.6,129.2,122.3
2023-03-07 19:00:00,ORL,MIL,1,0,123,50,100,0.5,9,30,0.3,14,19,0.737,10,28,38,24,7,0,13,22,0.568,0.545,0.3,0.19,22.2,90.3,50.0,48.0,6.5,0.0,10.7,115.0,125.2,134,46,78,0.59,10,28,0.357,32,34,0.941,3,35,38,28,5,5,17,18,0.721,0.654,0.359,0.436,9.7,77.8,50.0,60.9,4.7,7.1,15.5,125.2,115.0
