DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_USG%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_USG%,Opponent_ORTG,Opponent_DRTG
2024-05-02 21:00:00,PHI,NYK,1,0,115,38,87,0.437,17,40,0.425,22,23,0.957,16,30,46,20,6,5,12,22,0.592,0.534,0.46,0.264,36.4,60.0,48.9,52.6,6.7,8.1,11.0,100.0,128.3,131.6,118,43,93,0.462,14,31,0.452,18,24,0.75,20,28,48,28,6,8,9,17,0.57,0.538,0.333,0.258,40.0,63.6,51.1,65.1,6.7,17.0,8.0,100.0,131.6,128.3
2024-04-30 19:00:00,PHI,NYK,0,1,112,42,91,0.462,15,39,0.385,13,19,0.684,12,34,46,28,5,7,17,23,0.564,0.544,0.429,0.209,26.1,85.0,53.5,66.7,4.9,14.0,14.6,100.0,109.2,103.3,106,40,86,0.465,10,36,0.278,16,24,0.667,6,34,40,19,10,8,15,19,0.549,0.523,0.419,0.279,15.0,73.9,46.5,47.5,9.7,15.4,13.4,100.0,103.3,109.2
2024-04-28 13:00:00,PHI,NYK,1,0,92,29,82,0.354,9,33,0.273,25,29,0.862,9,33,42,23,5,5,9,24,0.485,0.409,0.402,0.354,19.6,68.8,44.7,79.3,5.4,8.5,8.7,100.0,100.3,105.7,97,37,86,0.43,7,27,0.259,16,26,0.615,15,37,52,19,1,11,12,19,0.498,0.471,0.314,0.302,31.3,80.4,55.3,51.4,1.1,22.4,11.0,100.0,105.7,100.3
2024-04-25 19:30:00,PHI,NYK,1,1,125,41,75,0.547,15,31,0.484,28,33,0.848,8,28,36,24,6,8,11,18,0.698,0.647,0.413,0.44,27.6,71.8,52.9,58.5,6.6,13.3,10.9,100.0,137.5,125.4,114,44,90,0.489,13,30,0.433,13,19,0.684,11,21,32,27,4,3,9,25,0.58,0.561,0.333,0.211,28.2,72.4,47.1,61.4,4.4,6.8,8.4,100.0,125.4,137.5
2024-04-22 19:30:00,PHI,NYK,0,0,101,36,84,0.429,13,36,0.361,16,22,0.727,10,34,44,26,3,6,11,21,0.539,0.506,0.429,0.262,22.7,73.9,48.9,72.2,3.2,10.3,10.5,100.0,109.0,112.3,104,37,91,0.407,11,33,0.333,19,23,0.826,12,34,46,22,5,6,8,17,0.514,0.467,0.363,0.253,26.1,77.3,51.1,59.5,5.4,12.5,7.3,100.0,112.3,109.0
2024-04-20 18:00:00,PHI,NYK,0,0,104,36,81,0.444,12,35,0.343,20,22,0.909,9,24,33,17,8,7,11,21,0.573,0.519,0.432,0.272,22.0,51.1,37.5,47.2,9.1,12.5,10.8,100.0,118.4,126.4,111,36,91,0.396,16,35,0.457,23,28,0.821,23,32,55,20,6,7,12,18,0.537,0.484,0.385,0.308,48.9,78.0,62.5,55.6,6.8,15.2,10.4,100.0,126.4,118.4
2024-04-17 19:00:00,PHI,MIA,1,1,105,36,86,0.419,12,35,0.343,21,23,0.913,15,34,49,23,4,3,15,17,0.546,0.488,0.407,0.267,34.1,65.4,51.0,63.9,4.4,5.9,13.5,100.0,114.6,113.5,104,38,90,0.422,14,39,0.359,14,19,0.737,18,29,47,23,12,4,13,19,0.529,0.5,0.433,0.211,34.6,65.9,49.0,60.5,13.1,7.8,11.7,100.0,113.5,114.6
2024-04-14 13:00:00,PHI,BKN,1,1,107,41,96,0.427,14,44,0.318,11,15,0.733,13,44,57,30,8,6,14,16,0.521,0.5,0.458,0.156,25.5,91.7,57.6,73.2,8.0,12.2,12.0,100.0,107.4,86.3,86,32,83,0.386,9,34,0.265,13,17,0.765,4,38,42,19,8,6,13,14,0.475,0.44,0.41,0.205,8.3,74.5,42.4,59.4,8.0,11.5,12.6,100.0,86.3,107.4
2024-04-12 19:00:00,PHI,ORL,1,1,125,42,88,0.477,18,37,0.486,23,28,0.821,8,36,44,22,6,6,13,20,0.623,0.58,0.42,0.318,18.6,78.3,49.4,52.4,5.8,8.8,11.5,100.0,120.8,109.2,113,43,95,0.453,8,27,0.296,19,25,0.76,10,35,45,25,7,7,11,21,0.533,0.495,0.284,0.263,21.7,81.4,50.6,58.1,6.8,13.7,9.4,100.0,109.2,120.8
2024-04-09 19:00:00,PHI,DET,1,1,120,44,98,0.449,13,37,0.351,19,23,0.826,16,35,51,29,11,8,9,18,0.555,0.515,0.378,0.235,31.4,79.5,53.7,65.9,11.2,14.8,7.7,100.0,122.0,103.7,102,34,84,0.405,14,30,0.467,20,24,0.833,9,35,44,20,3,5,16,17,0.539,0.488,0.357,0.286,20.5,68.6,46.3,58.8,3.0,8.2,14.5,100.0,103.7,122.0
2024-04-07 19:00:00,PHI,SAS,0,1,133,52,114,0.456,12,39,0.308,17,19,0.895,8,38,46,31,15,3,12,20,0.543,0.509,0.342,0.167,15.1,73.1,43.8,59.6,12.4,5.6,8.9,100.0,110.2,104.4,126,44,98,0.449,16,44,0.364,22,26,0.846,14,45,59,31,5,11,25,17,0.576,0.531,0.449,0.265,26.9,84.9,56.2,70.5,4.1,14.7,18.6,100.0,104.4,110.2
2024-04-06 20:00:00,PHI,MEM,0,1,116,41,79,0.519,16,39,0.41,18,23,0.783,9,32,41,27,12,9,19,22,0.651,0.62,0.494,0.291,23.7,68.1,48.2,65.9,12.3,14.8,17.6,100.0,119.2,98.7,96,36,87,0.414,9,26,0.346,15,21,0.714,15,29,44,21,9,2,19,18,0.499,0.466,0.299,0.241,31.9,76.3,51.8,58.3,9.3,5.0,16.5,100.0,98.7,119.2
2024-04-04 19:30:00,PHI,MIA,0,1,109,43,92,0.467,14,40,0.35,9,11,0.818,8,33,41,28,11,7,11,15,0.563,0.543,0.435,0.12,18.6,67.3,44.6,65.1,11.2,13.7,10.2,100.0,111.3,107.2,105,39,94,0.415,13,43,0.302,14,16,0.875,16,35,51,24,8,4,17,10,0.52,0.484,0.457,0.17,32.7,81.4,55.4,61.5,8.2,7.7,14.4,100.0,107.2,111.3
2024-04-02 19:30:00,PHI,OKC,1,1,109,36,78,0.462,14,30,0.467,23,25,0.92,9,33,42,27,8,4,18,20,0.612,0.551,0.385,0.321,22.5,73.3,49.4,75.0,8.3,8.3,16.8,100.0,113.3,109.1,105,37,87,0.425,13,39,0.333,18,22,0.818,12,31,43,30,10,9,15,18,0.543,0.5,0.448,0.253,26.7,77.5,50.6,81.1,10.4,18.8,13.4,100.0,109.1,113.3
2024-03-31 18:00:00,PHI,TOR,0,1,135,49,83,0.59,24,43,0.558,13,16,0.813,9,30,39,28,6,10,16,17,0.75,0.735,0.518,0.193,28.1,81.1,56.5,57.1,6.1,16.7,15.1,100.0,137.4,122.2,120,47,90,0.522,11,30,0.367,15,20,0.75,7,23,30,31,10,2,12,14,0.607,0.583,0.333,0.222,18.9,71.9,43.5,66.0,10.2,5.0,10.8,100.0,122.2,137.4
2024-03-29 19:30:00,PHI,CLE,0,0,114,42,94,0.447,16,40,0.4,14,17,0.824,16,26,42,28,6,7,9,20,0.562,0.532,0.426,0.181,33.3,83.9,53.2,66.7,6.4,15.6,8.1,100.0,122.5,125.8,117,45,82,0.549,16,37,0.432,11,13,0.846,5,32,37,34,4,3,14,17,0.667,0.646,0.451,0.159,16.1,66.7,46.8,75.6,4.3,5.6,13.8,100.0,125.8,122.5
2024-03-27 19:30:00,PHI,LAC,1,0,107,39,82,0.476,13,33,0.394,16,19,0.842,10,41,51,17,3,11,12,18,0.592,0.555,0.402,0.232,23.8,78.8,54.3,43.6,3.2,20.4,11.7,100.0,115.5,116.6,108,40,90,0.444,14,36,0.389,14,20,0.7,11,32,43,28,8,5,8,16,0.547,0.522,0.4,0.222,21.2,76.2,45.7,70.0,8.6,10.2,7.5,100.0,116.6,115.5
2024-03-25 22:00:00,PHI,SAC,0,0,96,34,82,0.415,11,34,0.324,17,20,0.85,15,32,47,18,2,4,15,25,0.529,0.482,0.415,0.244,34.1,74.4,54.0,52.9,2.2,8.3,14.2,100.0,106.9,120.3,108,38,86,0.442,10,38,0.263,22,28,0.786,11,29,40,25,6,6,8,18,0.549,0.5,0.442,0.326,25.6,65.9,46.0,65.8,6.7,12.5,7.5,100.0,120.3,106.9
2024-03-24 15:30:00,PHI,LAC,0,1,121,48,90,0.533,18,37,0.486,7,9,0.778,12,25,37,32,7,10,8,18,0.644,0.633,0.411,0.1,30.8,71.4,50.0,66.7,7.8,18.2,7.8,100.0,135.3,119.7,107,40,83,0.482,10,28,0.357,17,18,0.944,10,27,37,27,2,9,14,11,0.588,0.542,0.337,0.217,28.6,69.2,50.0,67.5,2.2,17.0,13.3,100.0,119.7,135.3
2024-03-22 22:30:00,PHI,LAL,0,0,94,33,96,0.344,8,37,0.216,20,24,0.833,13,29,42,20,13,7,9,23,0.441,0.385,0.385,0.25,23.2,72.5,43.8,60.6,13.4,16.7,7.8,100.0,96.9,104.1,101,32,73,0.438,12,31,0.387,25,33,0.758,11,43,54,22,1,7,21,16,0.577,0.521,0.425,0.452,27.5,76.8,56.3,68.8,1.0,11.9,19.4,100.0,104.1,96.9
