DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_USG%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_USG%,Opponent_ORTG,Opponent_DRTG
2024-04-28 21:30:00,PHX,MIN,1,0,116,38,74,0.514,10,26,0.385,30,36,0.833,10,23,33,20,6,7,12,26,0.646,0.581,0.351,0.486,27.0,57.5,42.9,52.6,6.6,13.2,11.8,100.0,127.8,134.4,122,41,89,0.461,15,36,0.417,25,31,0.806,17,27,44,23,6,6,12,27,0.594,0.545,0.404,0.348,42.5,73.0,57.1,56.1,6.6,12.5,10.5,100.0,134.4,127.8
2024-04-26 22:30:00,PHX,MIN,1,0,109,35,76,0.461,11,28,0.393,28,32,0.875,5,23,28,24,8,3,10,26,0.605,0.533,0.368,0.421,12.5,60.5,35.9,68.6,8.5,5.7,10.0,100.0,115.9,133.9,126,43,87,0.494,13,34,0.382,27,31,0.871,15,35,50,26,5,1,14,25,0.626,0.569,0.391,0.356,39.5,87.5,64.1,60.5,5.3,2.1,12.2,100.0,133.9,115.9
2024-04-23 19:30:00,PHX,MIN,0,0,93,35,78,0.449,8,22,0.364,15,19,0.789,11,30,41,19,7,1,20,22,0.538,0.5,0.282,0.244,27.5,75.0,51.3,54.3,7.5,2.2,18.8,100.0,100.3,113.2,105,35,78,0.449,9,32,0.281,26,30,0.867,10,29,39,23,11,2,14,21,0.576,0.506,0.41,0.385,25.0,72.5,48.8,65.7,11.9,3.6,13.3,100.0,113.2,100.3
2024-04-20 15:30:00,PHX,MIN,0,0,95,33,75,0.44,9,28,0.321,20,25,0.8,3,25,28,16,9,6,15,19,0.552,0.5,0.373,0.333,7.1,65.8,35.0,48.5,9.4,10.7,14.9,100.0,98.7,124.7,120,44,88,0.5,12,32,0.375,20,22,0.909,13,39,52,26,8,2,15,24,0.614,0.568,0.364,0.25,34.2,92.9,65.0,59.1,8.3,4.3,13.3,100.0,124.7,98.7
2024-04-14 15:30:00,PHX,MIN,0,1,125,47,86,0.547,16,29,0.552,15,18,0.833,13,19,32,28,13,3,13,24,0.665,0.64,0.337,0.209,35.1,61.3,47.1,59.6,14.1,6.8,12.2,100.0,136.0,115.3,106,36,70,0.514,9,26,0.346,25,31,0.806,12,24,36,22,7,5,24,20,0.634,0.579,0.371,0.443,38.7,64.9,52.9,61.1,7.6,8.8,22.3,100.0,115.3,136.0
2024-04-12 22:30:00,PHX,SAC,0,1,108,40,76,0.526,12,32,0.375,16,17,0.941,6,35,41,25,4,4,19,16,0.647,0.605,0.421,0.224,18.8,79.5,53.9,62.5,4.3,7.5,18.5,100.0,115.5,114.4,107,40,91,0.44,14,38,0.368,13,14,0.929,9,26,35,26,12,1,7,19,0.551,0.516,0.418,0.154,20.5,81.3,46.1,65.0,12.8,2.3,6.7,100.0,114.4,115.5
2024-04-10 22:30:00,PHX,LAC,0,1,124,46,95,0.484,18,50,0.36,14,15,0.933,9,39,48,29,8,6,13,13,0.61,0.579,0.526,0.158,20.5,81.3,52.2,63.0,7.8,10.2,11.3,100.0,120.9,105.3,108,44,95,0.463,12,36,0.333,8,10,0.8,9,35,44,23,9,3,13,13,0.543,0.526,0.379,0.105,18.8,79.5,47.8,52.3,8.8,6.7,11.6,100.0,105.3,120.9
2024-04-09 22:00:00,PHX,LAC,1,0,92,30,89,0.337,8,35,0.229,24,28,0.857,8,30,38,17,16,7,8,13,0.454,0.382,0.393,0.315,13.1,75.0,37.6,56.7,16.0,11.5,7.3,100.0,92.0,105.0,105,41,87,0.471,12,26,0.462,11,11,1.0,10,53,63,28,5,3,21,22,0.572,0.54,0.299,0.126,25.0,86.9,62.4,68.3,5.0,5.6,18.6,100.0,105.0,92.0
2024-04-07 18:00:00,PHX,NOP,1,0,105,39,87,0.448,14,39,0.359,13,14,0.929,9,29,38,30,7,8,16,17,0.564,0.529,0.448,0.161,20.9,78.4,47.5,76.9,7.2,17.4,14.7,100.0,108.2,116.5,113,40,85,0.471,16,39,0.41,17,19,0.895,8,34,42,26,8,7,14,17,0.605,0.565,0.459,0.224,21.6,79.1,52.5,65.0,8.2,14.6,13.0,100.0,116.5,108.2
2024-04-05 22:00:00,PHX,MIN,1,1,97,33,76,0.434,9,26,0.346,22,29,0.759,7,42,49,29,12,3,18,19,0.546,0.493,0.342,0.382,16.3,84.0,52.7,87.9,12.1,5.4,16.9,100.0,97.6,87.5,87,33,85,0.388,10,29,0.345,11,14,0.786,8,36,44,23,9,6,19,20,0.477,0.447,0.341,0.165,16.0,83.7,47.3,69.7,9.1,12.0,17.2,100.0,87.5,97.6
