DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_USG%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_USG%,Opponent_ORTG,Opponent_DRTG
2024-04-19 21:30:00,SAC,NOP,0,0,98,36,88,0.409,11,41,0.268,15,22,0.682,14,26,40,21,9,4,15,17,0.502,0.472,0.466,0.25,29.2,70.3,47.1,58.3,9.6,6.1,13.3,100.0,104.4,111.9,105,44,85,0.518,7,19,0.368,10,13,0.769,11,34,45,29,9,8,15,19,0.579,0.559,0.224,0.153,29.7,70.8,52.9,65.9,9.6,17.0,14.2,100.0,111.9,104.4
2024-04-16 22:00:00,SAC,GSW,1,1,118,43,98,0.439,18,39,0.462,14,15,0.933,15,34,49,28,10,5,8,17,0.564,0.531,0.398,0.153,30.6,81.0,53.8,65.1,10.5,10.4,7.1,100.0,124.5,99.2,94,33,80,0.413,10,32,0.313,18,23,0.783,8,34,42,19,5,3,16,17,0.522,0.475,0.4,0.288,19.0,69.4,46.2,57.6,5.3,5.1,15.1,100.0,99.2,124.5
2024-04-14 15:30:00,SAC,POR,1,1,121,43,87,0.494,13,34,0.382,22,27,0.815,13,38,51,29,11,6,14,19,0.612,0.569,0.391,0.31,29.5,62.3,48.6,67.4,11.4,11.3,12.4,100.0,125.0,84.7,82,31,98,0.316,7,45,0.156,13,17,0.765,23,31,54,18,11,2,18,19,0.389,0.352,0.459,0.173,37.7,70.5,51.4,58.1,11.4,3.8,14.6,100.0,84.7,125.0
2024-04-12 22:30:00,SAC,PHX,1,0,107,40,91,0.44,14,38,0.368,13,14,0.929,9,26,35,26,12,1,7,19,0.551,0.516,0.418,0.154,20.5,81.3,46.1,65.0,12.8,2.3,6.7,100.0,114.4,115.5,108,40,76,0.526,12,32,0.375,16,17,0.941,6,35,41,25,4,4,19,16,0.647,0.605,0.421,0.224,18.8,79.5,53.9,62.5,4.3,7.5,18.5,100.0,115.5,114.4
2024-04-11 22:00:00,SAC,NOP,1,0,123,46,84,0.548,16,38,0.421,15,20,0.75,5,27,32,26,7,0,14,17,0.663,0.643,0.452,0.238,12.5,84.4,44.4,56.5,7.0,0.0,13.1,100.0,122.4,134.4,135,49,86,0.57,22,40,0.55,15,18,0.833,5,35,40,35,7,2,13,16,0.719,0.698,0.465,0.209,15.6,87.5,55.6,71.4,7.0,4.3,12.2,100.0,134.4,122.4
2024-04-09 20:00:00,SAC,OKC,0,0,105,33,96,0.344,20,58,0.345,19,26,0.731,21,35,56,23,8,4,17,22,0.489,0.448,0.604,0.271,36.8,85.4,57.1,69.7,8.1,8.0,13.7,100.0,105.8,112.8,112,39,80,0.488,11,30,0.367,23,31,0.742,6,36,42,21,11,8,14,18,0.598,0.556,0.375,0.388,14.6,63.2,42.9,53.8,11.1,21.1,13.0,100.0,112.8,105.8
2024-04-07 19:30:00,SAC,BKN,0,1,107,40,94,0.426,15,48,0.313,12,16,0.75,11,43,54,31,8,12,9,17,0.529,0.505,0.511,0.17,22.0,86.0,54.0,77.5,8.1,21.4,8.2,100.0,108.9,78.4,77,30,86,0.349,7,30,0.233,10,13,0.769,7,39,46,17,5,5,17,14,0.42,0.39,0.349,0.151,14.0,78.0,46.0,56.7,5.1,10.9,15.6,100.0,78.4,108.9
2024-04-05 19:30:00,SAC,BOS,0,0,100,38,99,0.384,17,51,0.333,7,13,0.538,15,39,54,21,4,3,7,15,0.477,0.47,0.515,0.131,27.8,76.5,51.4,55.3,4.3,6.7,6.3,100.0,108.4,109.5,101,38,89,0.427,12,44,0.273,13,18,0.722,12,39,51,25,6,4,8,11,0.521,0.494,0.494,0.202,23.5,72.2,48.6,65.8,6.5,8.3,7.6,100.0,109.5,108.4
2024-04-04 19:30:00,SAC,NYK,0,0,109,42,86,0.488,18,42,0.429,7,12,0.583,9,26,35,26,6,3,16,23,0.597,0.593,0.488,0.14,23.1,74.3,47.3,61.9,6.3,5.8,14.9,100.0,114.4,125.9,120,44,80,0.55,12,28,0.429,20,29,0.69,9,30,39,34,9,2,13,20,0.647,0.625,0.35,0.363,25.7,76.9,52.7,77.3,9.4,4.5,12.3,100.0,125.9,114.4
2024-04-02 22:00:00,SAC,LAC,1,1,109,39,92,0.424,12,42,0.286,19,25,0.76,20,36,56,29,10,6,10,18,0.529,0.489,0.457,0.272,40.8,80.0,59.6,74.4,11.0,12.2,8.8,100.0,119.8,104.4,95,31,76,0.408,11,27,0.407,22,27,0.815,9,29,38,18,6,1,16,21,0.541,0.48,0.355,0.355,20.0,59.2,40.4,58.1,6.6,2.0,15.4,100.0,104.4,119.8
2024-03-31 21:00:00,SAC,UTA,1,1,127,45,84,0.536,20,40,0.5,17,23,0.739,13,31,44,34,8,6,15,23,0.675,0.655,0.476,0.274,37.1,73.8,57.1,75.6,8.6,14.3,13.7,100.0,137.2,114.5,106,34,83,0.41,16,41,0.39,22,28,0.786,11,22,33,22,6,4,12,18,0.556,0.506,0.494,0.337,26.2,62.9,42.9,64.7,6.5,9.1,11.2,100.0,114.5,137.2
2024-03-29 22:00:00,SAC,DAL,1,0,103,40,92,0.435,15,32,0.469,8,12,0.667,10,35,45,24,9,1,11,22,0.529,0.516,0.348,0.13,21.7,85.4,51.7,60.0,9.6,2.6,10.2,100.0,110.3,114.6,107,35,74,0.473,15,35,0.429,22,33,0.667,6,36,42,24,4,6,10,12,0.604,0.574,0.473,0.446,14.6,78.3,48.3,68.6,4.3,10.0,10.2,100.0,114.6,110.3
2024-03-26 22:00:00,SAC,DAL,1,0,96,35,90,0.389,11,30,0.367,15,19,0.789,11,31,42,27,6,5,14,15,0.488,0.45,0.333,0.211,20.0,86.1,46.2,77.1,6.0,9.4,12.5,100.0,96.0,132.0,132,51,92,0.554,22,39,0.564,8,13,0.615,5,44,49,34,10,4,9,18,0.675,0.674,0.424,0.141,13.9,80.0,53.8,66.7,10.0,6.7,8.4,100.0,132.0,96.0
