DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2023-04-09 15:30:00,UTA,LAL,0,0,117,51,101,0.505,10,35,0.286,5,6,0.833,7,38,45,31,4,4,11,16,0.564,0.554,0.347,0.059,15.2,79.2,47.9,60.8,3.8,7.7,9.6,110.6,121.0,128,47,97,0.485,18,45,0.4,16,21,0.762,10,39,49,28,4,7,11,9,0.602,0.577,0.464,0.216,20.8,84.8,52.1,59.6,3.8,10.6,9.4,121.0,110.6
2023-04-08 15:30:00,UTA,DEN,1,1,118,44,100,0.44,11,35,0.314,19,23,0.826,17,42,59,30,9,2,16,18,0.536,0.495,0.35,0.23,32.1,89.4,59.0,68.2,8.4,4.5,12.7,110.3,106.5,114,41,90,0.456,15,46,0.326,17,24,0.708,5,36,41,32,7,9,14,20,0.567,0.539,0.511,0.267,10.6,67.9,41.0,78.0,6.5,13.8,12.2,106.5,110.3
2023-04-06 21:00:00,UTA,OKC,1,0,98,41,83,0.494,5,31,0.161,11,16,0.688,7,38,45,24,5,2,19,23,0.544,0.524,0.373,0.193,17.5,69.1,47.4,58.5,5.0,3.8,17.4,97.1,113.0,114,39,97,0.402,15,45,0.333,21,26,0.808,17,33,50,29,12,2,13,17,0.526,0.479,0.464,0.268,30.9,82.5,52.6,74.4,11.9,3.8,10.7,113.0,97.1
2023-04-04 21:00:00,UTA,LAL,1,0,133,47,90,0.522,15,33,0.455,24,31,0.774,6,35,41,29,4,3,14,28,0.642,0.606,0.367,0.344,15.4,76.1,48.2,61.7,3.7,4.8,11.9,121.4,123.3,135,48,96,0.5,12,34,0.353,27,35,0.771,11,33,44,27,6,7,12,21,0.606,0.563,0.354,0.365,23.9,84.6,51.8,56.3,5.5,12.3,9.7,123.3,121.4
2023-04-02 15:30:00,UTA,BKN,0,0,110,40,91,0.44,8,32,0.25,22,30,0.733,11,41,52,24,5,1,11,23,0.528,0.484,0.352,0.33,25.0,85.4,56.5,60.0,5.0,1.9,9.5,109.2,110.2,111,38,86,0.442,9,32,0.281,26,34,0.765,7,33,40,25,6,2,9,26,0.55,0.494,0.372,0.395,14.6,75.0,43.5,65.8,6.0,3.4,8.2,110.2,109.2
2023-03-31 19:30:00,UTA,BOS,0,0,114,46,96,0.479,9,29,0.31,13,14,0.929,13,39,52,23,3,7,18,17,0.558,0.526,0.302,0.146,28.9,79.6,55.3,50.0,2.9,15.6,15.0,109.0,116.7,122,42,96,0.438,17,51,0.333,21,22,0.955,10,32,42,27,8,4,12,14,0.577,0.526,0.531,0.229,20.4,71.1,44.7,64.3,7.6,6.0,10.2,116.7,109.0
2023-03-29 20:00:00,UTA,SAS,0,1,128,49,90,0.544,12,31,0.387,18,20,0.9,8,37,45,28,5,6,16,17,0.648,0.611,0.344,0.222,21.1,80.4,53.6,57.1,4.7,10.0,13.9,120.4,110.0,117,45,95,0.474,10,35,0.286,17,21,0.81,9,30,39,31,10,4,15,16,0.561,0.526,0.368,0.221,19.6,78.9,46.4,68.9,9.4,6.8,12.6,110.0,120.4
2023-03-27 21:00:00,UTA,PHX,1,0,103,38,86,0.442,9,36,0.25,18,27,0.667,10,37,47,25,2,7,13,19,0.526,0.494,0.419,0.314,24.4,67.3,49.0,65.8,2.1,10.8,11.7,106.3,120.8,117,43,101,0.426,11,36,0.306,20,22,0.909,18,31,49,31,7,7,7,20,0.529,0.48,0.356,0.218,32.7,75.6,51.0,72.1,7.2,14.0,5.9,120.8,106.3
2023-03-25 22:00:00,UTA,SAC,0,0,113,47,91,0.516,9,28,0.321,10,16,0.625,11,34,45,30,3,7,17,14,0.576,0.566,0.308,0.176,28.2,70.8,51.7,63.8,3.0,13.5,14.8,114.4,122.5,121,44,95,0.463,16,43,0.372,17,21,0.81,14,28,42,30,11,1,9,13,0.58,0.547,0.453,0.221,29.2,71.8,48.3,68.2,11.1,1.6,7.9,122.5,114.4
2023-03-24 21:00:00,UTA,MIL,1,0,116,40,104,0.385,11,40,0.275,25,34,0.735,20,31,51,28,6,5,11,15,0.488,0.438,0.385,0.327,32.8,77.5,50.5,70.0,5.6,10.2,8.5,108.4,134.6,144,55,99,0.556,22,50,0.44,12,16,0.75,9,41,50,42,6,11,13,20,0.679,0.667,0.505,0.162,22.5,67.2,49.5,76.4,5.6,17.2,10.9,134.6,108.4
