DateTime,Team,Opponent,Is_Home,Is_Win,Team_PTS,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_TS%,Team_EFG%,Team_3PAR,Team_FTR,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORTG,Team_DRTG,Opponent_PTS,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_TS%,Opponent_EFG%,Opponent_3PAR,Opponent_FTR,Opponent_ORB%,Opponent_DRB%,Opponent_TRB%,Opponent_AST%,Opponent_STL%,Opponent_BLK%,Opponent_TOV%,Opponent_ORTG,Opponent_DRTG
2023-04-09 13:00:00,WAS,HOU,1,0,109,41,97,0.423,14,45,0.311,13,21,0.619,14,37,51,28,11,5,13,21,0.513,0.495,0.464,0.216,26.9,74.0,50.0,68.3,10.7,7.2,10.9,106.0,110.9,114,44,90,0.489,6,21,0.286,20,28,0.714,13,38,51,24,8,6,15,15,0.557,0.522,0.233,0.311,26.0,73.1,50.0,54.5,7.8,11.5,12.8,110.9,106.0
2023-04-07 19:00:00,WAS,MIA,1,1,114,39,84,0.464,7,33,0.212,29,37,0.784,12,38,50,23,4,3,17,18,0.568,0.506,0.393,0.44,26.7,73.1,51.5,59.0,3.9,5.9,14.5,110.7,104.9,108,43,98,0.439,15,47,0.319,7,12,0.583,14,33,47,26,7,4,16,29,0.523,0.515,0.48,0.122,26.9,73.3,48.5,60.5,6.8,7.8,13.4,104.9,110.7
2023-04-05 19:30:00,WAS,ATL,0,0,116,45,94,0.479,6,28,0.214,20,26,0.769,12,27,39,23,10,9,14,26,0.55,0.511,0.298,0.277,25.0,69.2,44.8,51.1,9.6,16.7,11.7,111.1,128.4,134,43,84,0.512,13,30,0.433,35,40,0.875,12,36,48,30,10,5,17,23,0.659,0.589,0.357,0.476,30.8,75.0,55.2,69.8,9.6,7.6,14.3,128.4,111.1
2023-04-04 19:00:00,WAS,MIL,1,0,128,50,99,0.505,13,27,0.481,15,21,0.714,9,33,42,30,7,4,9,21,0.591,0.571,0.273,0.212,17.0,73.3,42.9,60.0,6.4,8.0,7.7,117.9,129.0,140,50,92,0.543,23,42,0.548,17,29,0.586,12,44,56,33,6,7,18,19,0.668,0.668,0.457,0.315,26.7,83.0,57.1,66.0,5.5,9.7,14.7,129.0,117.9
2023-04-02 18:00:00,WAS,NYK,0,0,109,39,79,0.494,16,37,0.432,15,18,0.833,5,33,38,26,9,5,19,18,0.627,0.595,0.468,0.228,13.5,82.5,49.4,66.7,9.1,8.9,17.9,109.7,118.7,118,46,88,0.523,13,32,0.406,13,18,0.722,7,32,39,31,12,4,12,17,0.615,0.597,0.364,0.205,17.5,86.5,50.6,67.4,12.1,9.5,11.1,118.7,109.7
2023-03-31 19:00:00,WAS,ORL,1,0,109,41,105,0.39,17,50,0.34,10,12,0.833,15,36,51,24,5,5,13,24,0.494,0.471,0.476,0.114,26.3,85.7,51.5,58.5,4.8,7.8,10.5,105.1,111.8,116,44,88,0.5,8,24,0.333,20,26,0.769,6,42,48,26,2,14,11,16,0.583,0.545,0.273,0.295,14.3,73.7,48.5,59.1,1.9,25.5,10.0,111.8,105.1
2023-03-28 19:00:00,WAS,BOS,1,1,130,54,99,0.545,13,37,0.351,9,13,0.692,6,37,43,33,7,3,11,13,0.621,0.611,0.374,0.131,16.2,84.1,53.1,61.1,6.7,6.1,9.5,124.6,106.4,111,45,93,0.484,11,44,0.25,10,11,0.909,7,31,38,29,5,8,12,14,0.567,0.543,0.473,0.118,15.9,83.8,46.9,64.4,4.8,12.9,10.9,106.4,124.6
2023-03-26 18:00:00,WAS,TOR,0,0,104,38,86,0.442,16,36,0.444,12,20,0.6,12,33,45,25,6,2,18,12,0.549,0.535,0.419,0.233,25.5,64.7,45.9,65.8,6.1,3.0,16.0,106.0,116.2,114,45,98,0.459,11,31,0.355,13,16,0.813,18,35,53,22,13,6,13,19,0.543,0.515,0.316,0.163,35.3,74.5,54.1,48.9,13.2,12.0,11.0,116.2,106.0
2023-03-24 19:00:00,WAS,SAS,1,1,136,51,85,0.6,15,30,0.5,19,26,0.731,6,37,43,29,3,8,10,16,0.705,0.688,0.353,0.306,16.7,77.1,51.2,56.9,3.0,12.7,9.4,136.6,124.6,124,51,101,0.505,13,38,0.342,9,15,0.6,11,30,41,35,4,4,5,21,0.576,0.569,0.376,0.149,22.9,83.3,48.8,68.6,4.0,7.3,4.4,124.6,136.6
2023-03-22 19:00:00,WAS,DEN,1,0,104,44,87,0.506,4,26,0.154,12,16,0.75,10,27,37,20,4,4,7,15,0.553,0.529,0.299,0.184,25.0,71.1,47.4,45.5,4.5,7.8,6.9,117.1,132.9,118,42,83,0.506,15,32,0.469,19,21,0.905,11,30,41,28,7,2,10,18,0.64,0.596,0.386,0.253,28.9,75.0,52.6,66.7,7.9,3.3,9.8,132.9,117.1
